t,ksd,seed,type
281,0.0068723983,0,target
282,0.020175641,0,off-target
282,0.005878797,0,target
283,0.0194895,0,off-target
283,0.0055782734,0,target
284,0.017902132,0,off-target
284,0.005721789,0,target
285,0.017960422,0,off-target
285,0.0056606876,0,target
286,0.018223532,0,off-target
286,0.005873828,0,target
287,0.020263094,0,off-target
287,0.005336617,0,target
288,0.02148639,0,off-target
288,0.0056847343,0,target
289,0.022370055,0,off-target
289,0.0058824765,0,target
290,0.022151258,0,off-target
290,0.0058703907,0,target
291,0.023065234,0,off-target
291,0.0059980545,0,target
292,0.022302242,0,off-target
292,0.006463625,0,target
293,0.024763953,0,off-target
293,0.0073578125,0,target
294,0.02545379,0,off-target
294,0.0083084535,0,target
295,0.023662688,0,off-target
295,0.007913664,0,target
296,0.022229165,0,off-target
296,0.0075958674,0,target
297,0.022310719,0,off-target
297,0.008214008,0,target
298,0.022070492,0,off-target
298,0.008046547,0,target
299,0.02328878,0,off-target
299,0.00815975,0,target
300,0.024575273,0,off-target
300,0.0077237966,0,target
301,0.024161797,0,off-target
301,0.007999922,0,target
302,0.02497825,0,off-target
302,0.008537687,0,target
303,0.025869874,0,off-target
303,0.0084915785,0,target
304,0.02390668,0,off-target
304,0.0075273905,0,target
305,0.026754891,0,off-target
305,0.0074263047,0,target
306,0.031409375,0,off-target
306,0.0063631563,0,target
307,0.030767625,0,off-target
307,0.0058869766,0,target
308,0.02794625,0,off-target
308,0.0057435,0,target
309,0.028361203,0,off-target
309,0.005770664,0,target
310,0.029123453,0,off-target
310,0.005890391,0,target
311,0.030012788,0,off-target
311,0.005900508,0,target
312,0.028366273,0,off-target
312,0.006609875,0,target
313,0.02611425,0,off-target
313,0.0075444374,0,target
314,0.025135797,0,off-target
314,0.0076627033,0,target
315,0.02352675,0,off-target
315,0.009357234,0,target
316,0.021154312,0,off-target
316,0.010093329,0,target
317,0.020016056,0,off-target
317,0.010244977,0,target
318,0.02010979,0,off-target
318,0.010917555,0,target
319,0.017073797,0,off-target
319,0.011737719,0,target
320,0.017837407,0,off-target
320,0.011713547,0,target
321,0.019586235,0,off-target
321,0.0114435395,0,target
322,0.020619992,0,off-target
322,0.010122554,0,target
323,0.0201355,0,off-target
323,0.010104188,0,target
324,0.01950075,0,off-target
324,0.009887125,0,target
325,0.019609563,0,off-target
325,0.011051672,0,target
326,0.018935656,0,off-target
326,0.010809469,0,target
327,0.0184985,0,off-target
327,0.010544289,0,target
328,0.018464195,0,off-target
328,0.010184,0,target
329,0.01859157,0,off-target
329,0.0086929295,0,target
330,0.019680813,0,off-target
330,0.0073234923,0,target
331,0.02056878,0,off-target
331,0.005732305,0,target
332,0.019784719,0,off-target
332,0.006284453,0,target
333,0.022228774,0,off-target
333,0.0062115546,0,target
334,0.022884093,0,off-target
334,0.0053109843,0,target
335,0.023568938,0,off-target
335,0.0053384295,0,target
336,0.025898969,0,off-target
336,0.004934719,0,target
337,0.025440203,0,off-target
337,0.004736344,0,target
338,0.025721,0,off-target
338,0.004951297,0,target
339,0.02604525,0,off-target
339,0.004920117,0,target
340,0.025451187,0,off-target
340,0.0043978984,0,target
341,0.025768828,0,off-target
341,0.004069922,0,target
342,0.025294531,0,off-target
342,0.0039619454,0,target
343,0.023849312,0,off-target
343,0.004138922,0,target
344,0.021684188,0,off-target
344,0.0043569533,0,target
345,0.023517298,0,off-target
345,0.004423328,0,target
346,0.022899196,0,off-target
346,0.0043680705,0,target
347,0.023115328,0,off-target
347,0.004463047,0,target
348,0.023569454,0,off-target
348,0.0052984846,0,target
349,0.022499157,0,off-target
349,0.0043841796,0,target
350,0.021614093,0,off-target
350,0.004671016,0,target
351,0.019336702,0,off-target
351,0.004380086,0,target
352,0.019516218,0,off-target
352,0.0051850704,0,target
353,0.018118437,0,off-target
353,0.005172703,0,target
354,0.016262203,0,off-target
354,0.004792078,0,target
355,0.017536063,0,off-target
355,0.005024422,0,target
356,0.016977867,0,off-target
356,0.0052807033,0,target
357,0.016817907,0,off-target
357,0.005150641,0,target
358,0.016416734,0,off-target
358,0.004289523,0,target
359,0.016656898,0,off-target
359,0.0052158986,0,target
360,0.015951531,0,off-target
360,0.0046835938,0,target
361,0.017447257,0,off-target
361,0.0046844217,0,target
362,0.018565813,0,off-target
362,0.0049992735,0,target
363,0.018245798,0,off-target
363,0.0049691484,0,target
364,0.020365125,0,off-target
364,0.005205961,0,target
365,0.021232491,0,off-target
365,0.004923445,0,target
366,0.019287562,0,off-target
366,0.0057999454,0,target
367,0.019472843,0,off-target
367,0.0060375235,0,target
368,0.02100153,0,off-target
368,0.005827547,0,target
369,0.019995915,0,off-target
369,0.0062519843,0,target
370,0.020320922,0,off-target
370,0.007008703,0,target
371,0.01986207,0,off-target
371,0.007165516,0,target
372,0.021384187,0,off-target
372,0.0062917345,0,target
373,0.019976484,0,off-target
373,0.0066703986,0,target
374,0.021074165,0,off-target
374,0.0057299687,0,target
375,0.025451586,0,off-target
375,0.005126922,0,target
376,0.023426492,0,off-target
376,0.0064691408,0,target
377,0.02384871,0,off-target
377,0.0070194453,0,target
378,0.026642218,0,off-target
378,0.007030617,0,target
379,0.028117016,0,off-target
379,0.007149383,0,target
380,0.027411884,0,off-target
380,0.008664664,0,target
381,0.026887313,0,off-target
381,0.007778086,0,target
382,0.02878161,0,off-target
382,0.008566914,0,target
383,0.027817203,0,off-target
383,0.010094547,0,target
384,0.029554836,0,off-target
384,0.00918089,0,target
385,0.029144585,0,off-target
385,0.010839937,0,target
386,0.028306093,0,off-target
386,0.010847414,0,target
387,0.026781578,0,off-target
387,0.011323515,0,target
388,0.024486031,0,off-target
388,0.01244761,0,target
389,0.023317274,0,off-target
389,0.010707656,0,target
390,0.023567304,0,off-target
390,0.009587211,0,target
391,0.022704452,0,off-target
391,0.00907411,0,target
392,0.02164864,0,off-target
392,0.008498367,0,target
393,0.020843735,0,off-target
393,0.007513,0,target
394,0.020940015,0,off-target
394,0.0069660232,0,target
395,0.022574563,0,off-target
395,0.007205383,0,target
396,0.020662915,0,off-target
396,0.0068611093,0,target
397,0.019933421,0,off-target
397,0.008003719,0,target
398,0.021516258,0,off-target
398,0.008395563,0,target
399,0.020322962,0,off-target
399,0.007325672,0,target
400,0.023406906,0,off-target
400,0.00885575,0,target
401,0.021872891,0,off-target
401,0.008820484,0,target
402,0.0210549,0,off-target
402,0.007883328,0,target
403,0.019884484,0,off-target
403,0.007214633,0,target
404,0.019976836,0,off-target
404,0.008270805,0,target
405,0.020412594,0,off-target
405,0.0062163984,0,target
406,0.019200172,0,off-target
406,0.0063430313,0,target
407,0.020530382,0,off-target
407,0.0064704376,0,target
408,0.021530367,0,off-target
408,0.0070861797,0,target
409,0.020997921,0,off-target
409,0.008068493,0,target
410,0.020644195,0,off-target
410,0.007655258,0,target
411,0.02353264,0,off-target
411,0.006383875,0,target
