t,ksd,seed,type
157,0.00805336,0,target
158,0.008559516,0,off-target
158,0.0050019217,0,target
159,0.017684968,0,off-target
159,0.01324802,0,target
160,0.0148374215,0,off-target
160,0.011151402,0,target
161,0.0071505,0,off-target
161,0.010344328,0,target
162,0.0055849687,0,off-target
162,0.014899485,0,target
163,0.006139031,0,off-target
163,0.026644194,0,target
164,0.008093,0,off-target
164,0.027751593,0,target
165,0.009879781,0,off-target
165,0.013955589,0,target
166,0.003752797,0,off-target
166,0.007559711,0,target
167,0.01774711,0,off-target
167,0.0051850467,0,target
168,0.014790063,0,off-target
168,0.010109328,0,target
169,0.0041357186,0,off-target
169,0.01617103,0,target
170,0.014188516,0,off-target
170,0.005413074,0,target
171,0.012191078,0,off-target
171,0.009168137,0,target
172,0.005930078,0,off-target
172,0.015871294,0,target
173,0.008125891,0,off-target
173,0.012116926,0,target
174,0.00979336,0,off-target
174,0.004954031,0,target
175,0.008052875,0,off-target
175,0.012981273,0,target
176,0.007806719,0,off-target
176,0.0053650937,0,target
177,0.007927125,0,off-target
177,0.0054592616,0,target
178,0.009719937,0,off-target
178,0.005099469,0,target
179,0.011085578,0,off-target
179,0.0048581213,0,target
180,0.0074953125,0,off-target
180,0.0061410195,0,target
181,0.0100371875,0,off-target
181,0.0074287187,0,target
182,0.014254094,0,off-target
182,0.0070000626,0,target
183,0.0105215,0,off-target
183,0.0055289725,0,target
184,0.0039327345,0,off-target
184,0.0023810626,0,target
185,0.014066984,0,off-target
185,0.0095753865,0,target
186,0.013300656,0,off-target
186,0.018289413,0,target
187,0.00799825,0,off-target
187,0.012970707,0,target
188,0.0095645,0,off-target
188,0.023933226,0,target
189,0.0059269373,0,off-target
189,0.0270887,0,target
190,0.008797547,0,off-target
190,0.022524359,0,target
191,0.0044574062,0,off-target
191,0.007921215,0,target
192,0.0055999844,0,off-target
192,0.007707082,0,target
193,0.007842688,0,off-target
193,0.0041420353,0,target
194,0.004705344,0,off-target
194,0.0054044453,0,target
195,0.005006375,0,off-target
195,0.011964215,0,target
196,0.009438,0,off-target
196,0.005449199,0,target
197,0.016460327,0,off-target
197,0.0059911525,0,target
198,0.004527578,0,off-target
198,0.006793102,0,target
199,0.013126656,0,off-target
199,0.0036742538,0,target
200,0.014011437,0,off-target
200,0.011780578,0,target
201,0.0147936875,0,off-target
201,0.018649524,0,target
202,0.010940282,0,off-target
202,0.01611361,0,target
203,0.012402641,0,off-target
203,0.013460746,0,target
204,0.019616656,0,off-target
204,0.0140848905,0,target
205,0.015894298,0,off-target
205,0.014317867,0,target
206,0.004949156,0,off-target
206,0.009771727,0,target
207,0.007967719,0,off-target
207,0.008817832,0,target
208,0.011101531,0,off-target
208,0.013183328,0,target
209,0.008838172,0,off-target
209,0.006262457,0,target
210,0.009054109,0,off-target
210,0.007994711,0,target
211,0.012725156,0,off-target
211,0.008021203,0,target
212,0.010986266,0,off-target
212,0.013313719,0,target
213,0.008378281,0,off-target
213,0.015245977,0,target
214,0.00964025,0,off-target
214,0.015016765,0,target
215,0.008598516,0,off-target
215,0.01830621,0,target
216,0.017718844,0,off-target
216,0.018256454,0,target
217,0.009196625,0,off-target
217,0.013302476,0,target
218,0.015721781,0,off-target
218,0.027181657,0,target
219,0.016242078,0,off-target
219,0.017380945,0,target
220,0.008184953,0,off-target
220,0.0065763593,0,target
221,0.0077860937,0,off-target
221,0.0069386093,0,target
222,0.008374468,0,off-target
222,0.006677465,0,target
223,0.011398829,0,off-target
223,0.0072231796,0,target
224,0.02847872,0,off-target
224,0.010471136,0,target
225,0.027892672,0,off-target
225,0.019519422,0,target
226,0.018038891,0,off-target
226,0.013695793,0,target
227,0.008911781,0,off-target
227,0.004301875,0,target
228,0.011190468,0,off-target
228,0.012614543,0,target
229,0.01162775,0,off-target
229,0.008624996,0,target
230,0.0107115,0,off-target
230,0.008885414,0,target
231,0.012820453,0,off-target
231,0.012306766,0,target
232,0.004996672,0,off-target
232,0.01143473,0,target
233,0.004817328,0,off-target
233,0.011799828,0,target
234,0.006399578,0,off-target
234,0.0036846797,0,target
235,0.008052375,0,off-target
235,0.01033359,0,target
236,0.016245171,0,off-target
236,0.0062650037,0,target
237,0.012002125,0,off-target
237,0.012803867,0,target
238,0.027623687,0,off-target
238,0.015817726,0,target
239,0.011301829,0,off-target
239,0.012100156,0,target
240,0.009282515,0,off-target
240,0.009398805,0,target
241,0.00944125,0,off-target
241,0.012101957,0,target
242,0.009178719,0,off-target
242,0.008358719,0,target
243,0.013603484,0,off-target
243,0.009646531,0,target
244,0.009589359,0,off-target
244,0.011946543,0,target
245,0.009278766,0,off-target
245,0.009743476,0,target
246,0.009001594,0,off-target
246,0.012113054,0,target
247,0.008251328,0,off-target
247,0.004912051,0,target
248,0.010450313,0,off-target
248,0.0075399727,0,target
249,0.0077145626,0,off-target
249,0.0038173439,0,target
250,0.018854875,0,off-target
250,0.014485469,0,target
251,0.022686906,0,off-target
251,0.017156594,0,target
252,0.009712609,0,off-target
252,0.02505732,0,target
253,0.009178297,0,off-target
253,0.0076280897,0,target
254,0.007128781,0,off-target
254,0.0036551952,0,target
255,0.0051722187,0,off-target
255,0.0074115936,0,target
256,0.0082516875,0,off-target
256,0.004501828,0,target
257,0.008089766,0,off-target
257,0.0054251757,0,target
258,0.008905031,0,off-target
258,0.009023574,0,target
259,0.016299328,0,off-target
259,0.012995445,0,target
260,0.008626265,0,off-target
260,0.010360003,0,target
261,0.009363093,0,off-target
261,0.012606289,0,target
262,0.00914925,0,off-target
262,0.013350668,0,target
263,0.011763547,0,off-target
263,0.009759102,0,target
264,0.008431547,0,off-target
264,0.0070645898,0,target
265,0.01717903,0,off-target
265,0.020511305,0,target
266,0.014633062,0,off-target
266,0.024858512,0,target
267,0.011559328,0,off-target
267,0.023550078,0,target
268,0.011502391,0,off-target
268,0.01882043,0,target
269,0.0077703437,0,off-target
269,0.008925367,0,target
270,0.0125423595,0,off-target
270,0.0066531994,0,target
271,0.015923547,0,off-target
271,0.006529156,0,target
272,0.005090328,0,off-target
272,0.0042330236,0,target
273,0.008108922,0,off-target
273,0.006888824,0,target
274,0.011908844,0,off-target
274,0.011595367,0,target
275,0.004285953,0,off-target
275,0.016125636,0,target
276,0.009446172,0,off-target
276,0.016279453,0,target
277,0.006366922,0,off-target
277,0.02114725,0,target
278,0.006782219,0,off-target
278,0.0054564686,0,target
279,0.008508516,0,off-target
279,0.0038272657,0,target
280,0.010598328,0,off-target
280,0.0073542576,0,target
281,0.01611014,0,off-target
281,0.0067769764,0,target
282,0.006190172,0,off-target
282,0.010497133,0,target
283,0.012078563,0,off-target
283,0.0084858285,0,target
284,0.015940828,0,off-target
284,0.012152027,0,target
285,0.01253525,0,off-target
285,0.008755707,0,target
286,0.0068458593,0,off-target
286,0.004864441,0,target
287,0.008550188,0,off-target
287,0.0123916175,0,target
288,0.008741735,0,off-target
288,0.0050800666,0,target
289,0.010596765,0,off-target
289,0.010488281,0,target
290,0.010751829,0,off-target
290,0.015772328,0,target
291,0.01595189,0,off-target
291,0.019616965,0,target
292,0.019242672,0,off-target
292,0.012545883,0,target
293,0.010011734,0,off-target
293,0.0046783555,0,target
294,0.0062425314,0,off-target
294,0.012272433,0,target
295,0.010421234,0,off-target
295,0.0071238945,0,target
296,0.01934811,0,off-target
296,0.01645239,0,target
297,0.014031969,0,off-target
297,0.007789348,0,target
298,0.01440425,0,off-target
298,0.008978156,0,target
299,0.017323282,0,off-target
299,0.02040875,0,target
300,0.017396329,0,off-target
300,0.0037211445,0,target
301,0.013778281,0,off-target
301,0.008635031,0,target
302,0.008088516,0,off-target
302,0.0055944216,0,target
303,0.006002859,0,off-target
303,0.007846516,0,target
304,0.007126047,0,off-target
304,0.010034227,0,target
305,0.007707109,0,off-target
305,0.007531281,0,target
306,0.01096236,0,off-target
306,0.017338555,0,target
307,0.013008718,0,off-target
307,0.030029023,0,target
308,0.007016297,0,off-target
308,0.0061945743,0,target
309,0.010157234,0,off-target
309,0.006373379,0,target
310,0.011705109,0,off-target
310,0.0032166329,0,target
311,0.0078052813,0,off-target
311,0.0053532072,0,target
312,0.018426126,0,off-target
312,0.011573656,0,target
313,0.0051381565,0,off-target
313,0.007824172,0,target
314,0.016244577,0,off-target
314,0.014660797,0,target
315,0.010817234,0,off-target
315,0.005136418,0,target
316,0.011157656,0,off-target
316,0.004387746,0,target
317,0.009123437,0,off-target
317,0.012409738,0,target
318,0.013197141,0,off-target
318,0.015443402,0,target
319,0.01347625,0,off-target
319,0.007126109,0,target
320,0.019004343,0,off-target
320,0.024145337,0,target
321,0.01399325,0,off-target
321,0.0101632895,0,target
322,0.011256875,0,off-target
322,0.0076862657,0,target
323,0.0059623905,0,off-target
323,0.01432036,0,target
324,0.0069645783,0,off-target
324,0.0029050976,0,target
325,0.004040469,0,off-target
325,0.007842067,0,target
326,0.009490812,0,off-target
326,0.0054918947,0,target
327,0.008113188,0,off-target
327,0.011706328,0,target
328,0.009546625,0,off-target
328,0.007125289,0,target
329,0.0124841565,0,off-target
329,0.0065560313,0,target
330,0.008163813,0,off-target
330,0.012018336,0,target
331,0.009229422,0,off-target
331,0.008156067,0,target
332,0.008063875,0,off-target
332,0.009837746,0,target
333,0.0065644532,0,off-target
333,0.008912238,0,target
334,0.0061546406,0,off-target
334,0.009567344,0,target
335,0.012168625,0,off-target
335,0.008987867,0,target
336,0.021317016,0,off-target
336,0.009488156,0,target
337,0.014388719,0,off-target
337,0.008119226,0,target
338,0.013027031,0,off-target
338,0.0064263283,0,target
339,0.0181705,0,off-target
339,0.009613028,0,target
340,0.014073594,0,off-target
340,0.0074083284,0,target
341,0.010966641,0,off-target
341,0.007860508,0,target
342,0.014127937,0,off-target
342,0.013119305,0,target
343,0.00837275,0,off-target
343,0.005729957,0,target
344,0.009086453,0,off-target
344,0.012422141,0,target
345,0.006474547,0,off-target
345,0.019714117,0,target
346,0.013643906,0,off-target
346,0.0065629804,0,target
347,0.011078078,0,off-target
347,0.006839707,0,target
348,0.0130244065,0,off-target
348,0.0057895468,0,target
349,0.014834594,0,off-target
349,0.0068858787,0,target
350,0.012491828,0,off-target
350,0.0078032264,0,target
351,0.009400797,0,off-target
351,0.007507617,0,target
352,0.011702563,0,off-target
352,0.010739672,0,target
353,0.0059486562,0,off-target
353,0.0058476096,0,target
354,0.012770532,0,off-target
354,0.011469371,0,target
355,0.018392827,0,off-target
355,0.008854445,0,target
356,0.010994109,0,off-target
356,0.004108453,0,target
357,0.0089013595,0,off-target
357,0.0061785704,0,target
358,0.012330782,0,off-target
