Tue Dec  6 22:24:17 2022    profile.o

         146142480 function calls (141306574 primitive calls) in 213.205 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    40020    0.591    0.000    2.124    0.000 math_ops.py:5009(_tensordot_reshape)
   846020    1.923    0.000    2.117    0.000 {built-in method tensorflow.python.util._pywrap_utils.Flatten}
    10010    0.019    0.000    2.031    0.000 gen_random_ops.py:607(random_standard_normal)
  1064683    0.360    0.000    1.868    0.000 abc.py:96(__instancecheck__)
  1047287    0.625    0.000    1.777    0.000 tensor_shape.py:775(<genexpr>)
        2    1.774    0.887    1.775    0.888 kernel.py:13(stein_kernel_matrices)
   509666    0.303    0.000    1.702    0.000 array_ops.py:894(_check_index)
    60308    0.037    0.000    1.638    0.000 array_ops.py:825(rank)
    10307    0.124    0.000    1.623    0.000 random_ops.py:212(random_uniform)
    60308    0.289    0.000    1.601    0.000 array_ops.py:861(rank_internal)
    14019    0.035    0.000    1.599    0.000 execute.py:29(quick_execute)
    21968    0.107    0.000    1.581    0.000 execute.py:227(args_to_matching_eager)
    14019    1.545    0.000    1.545    0.000 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_Execute}
   912114    0.731    0.000    1.516    0.000 {built-in method builtins.all}
  1064683    0.827    0.000    1.508    0.000 {built-in method _abc._abc_instancecheck}
        4    0.000    0.000    1.498    0.374 find_modes.py:65(run_bfgs)
        4    0.000    0.000    1.490    0.372 bfgs.py:69(minimize)
   272235    0.866    0.000    1.472    0.000 ops.py:6923(__enter__)
       26    0.002    0.000    1.437    0.055 bfgs.py:252(_body)
    22454    0.024    0.000    1.402    0.000 math_ops.py:1558(truediv)
      435    0.012    0.000    1.389    0.003 __init__.py:3(<module>)
    22454    0.187    0.000    1.378    0.000 math_ops.py:1509(_truediv_python3)
     1904    0.006    0.000    1.339    0.001 gen_math_ops.py:1527(batch_mat_mul_v2)
1500/1498    0.013    0.000    1.300    0.001 function.py:2646(_maybe_define_function)
125964/125228    0.290    0.000    1.276    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
   324604    0.635    0.000    1.252    0.000 dtypes.py:155(is_compatible_with)
       26    0.002    0.000    1.214    0.047 bfgs_utils.py:149(line_search_step)
  1139577    0.809    0.000    1.214    0.000 tensor_conversion_registry.py:112(get)
    10016    0.023    0.000    1.201    0.000 np_array_ops.py:361(all)
      357    0.011    0.000    1.180    0.003 backprop.py:995(gradient)
   316256    1.161    0.000    1.161    0.000 {built-in method numpy.arange}
    60060    0.049    0.000    1.153    0.000 math_ops.py:1888(equal)
      670    0.019    0.000    1.141    0.002 kernel.py:5(l2norm)
       26    0.001    0.000    1.140    0.044 hager_zhang.py:65(hager_zhang)
    60330    0.085    0.000    1.133    0.000 gen_math_ops.py:3272(equal)
     1499    0.019    0.000    1.131    0.001 function.py:1783(_call_flat)
      357    0.004    0.000    1.129    0.003 imperative_grad.py:29(imperative_grad)
      357    0.071    0.000    1.121    0.003 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_TapeGradient}
    10385    0.016    0.000    1.113    0.000 math_ops.py:2248(reduce_sum)
    20339    0.073    0.000    1.112    0.000 tensor_util.py:1067(shape_tensor)
   134/80    0.001    0.000    1.085    0.014 prefer_static.py:233(cond)
    10385    0.025    0.000    1.081    0.000 math_ops.py:2315(reduce_sum_with_dims)
    32/21    0.000    0.000    1.075    0.051 __init__.py:109(import_module)
    37/21    0.000    0.000    1.075    0.051 <frozen importlib._bootstrap>:1002(_gcd_import)
   735026    0.478    0.000    1.060    0.000 tensor_shape.py:723(as_dimension)
    10385    0.049    0.000    1.041    0.000 gen_math_ops.py:11203(_sum)
    81684    0.066    0.000    1.035    0.000 <__array_function__ internals>:177(prod)
     1499    0.034    0.000    1.032    0.001 function.py:460(call)
    10127    0.024    0.000    1.028    0.000 __init__.py:85(old_div)
7278/6886    0.087    0.000    1.014    0.000 {built-in method builtins.__build_class__}
     6517    0.037    0.000    0.981    0.000 backprop.py:127(_gradient_function)
   754585    0.350    0.000    0.969    0.000 dtypes.py:63(base_dtype)
   272235    0.401    0.000    0.960    0.000 ops.py:6957(__exit__)
   799151    0.769    0.000    0.894    0.000 dtypes.py:678(as_dtype)
       26    0.001    0.000    0.894    0.034 hager_zhang.py:266(_apply_bracket_and_search)
       26    0.001    0.000    0.893    0.034 hager_zhang.py:289(_bracket_and_search)
    81684    0.112    0.000    0.885    0.000 fromnumeric.py:2970(prod)
    10009    0.042    0.000    0.883    0.000 math_ops.py:445(divide)
        1    0.000    0.000    0.867    0.867 goftest.py:1(<module>)
    12388    0.032    0.000    0.858    0.000 array_ops.py:66(reshape)
     8048    0.044    0.000    0.809    0.000 prefer_static.py:68(wrap)
    82407    0.206    0.000    0.804    0.000 fromnumeric.py:69(_wrapreduction)
        1    0.002    0.002    0.801    0.801 pyplot.py:4(<module>)
     1510    0.008    0.000    0.800    0.001 distribution.py:333(wrapped_init)
    10101    0.047    0.000    0.799    0.000 math_ops.py:3177(reduce_all)
    12388    0.046    0.000    0.792    0.000 gen_array_ops.py:8457(reshape)
9307/9231    0.026    0.000    0.788    0.000 deprecation.py:527(new_func)
    14130    0.029    0.000    0.787    0.000 gen_math_ops.py:6730(neg)
     4115    0.028    0.000    0.783    0.000 <frozen importlib._bootstrap_external>:914(get_code)
  1415047    0.777    0.000    0.777    0.000 {method '_shape_tuple' of 'tensorflow.python.framework.ops.EagerTensor' objects}
    20012    0.071    0.000    0.747    0.000 np_array_ops.py:350(_promote_dtype_binary)
588287/568971    0.184    0.000    0.740    0.000 abc.py:100(__subclasscheck__)
     1496    0.005    0.000    0.737    0.000 math_ops.py:321(argmin_v2)
    12315    0.121    0.000    0.735    0.000 math_ops.py:936(cast)
     7268    0.025    0.000    0.734    0.000 array_ops.py:1484(_autopacking_helper)
     1496    0.014    0.000    0.732    0.000 gen_math_ops.py:874(arg_min)
    10300    0.018    0.000    0.724    0.000 gen_random_ops.py:690(random_uniform)
  1223125    0.712    0.000    0.712    0.000 context.py:995(device_name)
     7286    0.015    0.000    0.703    0.000 gen_array_ops.py:6506(pack)
     3336    0.019    0.000    0.687    0.000 nest.py:808(map_structure)
   240666    0.100    0.000    0.669    0.000 ops.py:1269(get_shape)
     1496    0.023    0.000    0.665    0.000 gen_math_ops.py:938(arg_min_eager_fallback)
  3046144    0.655    0.000    0.655    0.000 array_ops.py:1575(<genexpr>)
      134    0.008    0.000    0.653    0.005 kernel.py:178(gradgrad)
      101    0.001    0.000    0.643    0.006 artist.py:128(_update_set_signature_and_docstring)
    26473    0.047    0.000    0.640    0.000 math_ops.py:2137(_ReductionDims)
      100    0.000    0.000    0.638    0.006 artist.py:104(__init_subclass__)
  5615114    0.630    0.000    0.630    0.000 context.py:2131(context_safe)
   754585    0.619    0.000    0.619    0.000 dtypes.py:50(_is_ref_dtype)
        1    0.000    0.000    0.613    0.613 def_function.py:735(_initialize)
    12790    0.090    0.000    0.612    0.000 math_ops.py:3925(add)
     1506    0.009    0.000    0.612    0.000 distribution.py:2018(_set_sample_static_shape)
        1    0.000    0.000    0.612    0.612 function.py:2475(_get_concrete_function_internal_garbage_collected)
     2837    0.007    0.000    0.610    0.000 math_ops.py:3058(reduce_max)
      3/1    0.000    0.000    0.607    0.607 function.py:2609(_create_graph_function)
      8/1    0.001    0.000    0.606    0.606 func_graph.py:971(func_graph_from_py_func)
   122719    0.604    0.000    0.604    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    80040    0.181    0.000    0.603    0.000 np_utils.py:567(get_static_value)
     2837    0.009    0.000    0.601    0.000 math_ops.py:3108(reduce_max_with_dims)
     3336    0.007    0.000    0.601    0.000 nest.py:916(<listcomp>)
        1    0.000    0.000    0.600    0.600 def_function.py:658(wrapped_fn)
        1    0.000    0.000    0.600    0.600 binomial.py:228(_random_binomial)
        1    0.000    0.000    0.600    0.600 implementation_selection.py:136(impl_selecting_fn)
  3463822    0.591    0.000    0.591    0.000 {method '_datatype_enum' of 'tensorflow.python.framework.ops.EagerTensor' objects}
282368/277016    0.182    0.000    0.589    0.000 {built-in method builtins.next}
     2837    0.019    0.000    0.589    0.000 gen_math_ops.py:6071(_max)
      134    0.003    0.000    0.583    0.004 kernel.py:141(__call__)
    22454    0.039    0.000    0.579    0.000 gen_math_ops.py:7848(real_div)
        1    0.000    0.000    0.573    0.573 feature_column_lib.py:15(<module>)
     4115    0.009    0.000    0.572    0.000 <frozen importlib._bootstrap_external>:638(_compile_bytecode)
        2    0.000    0.000    0.568    0.284 feature_column.py:15(<module>)
        2    0.000    0.000    0.567    0.284 base.py:15(<module>)
     5464    0.025    0.000    0.562    0.000 array_ops.py:5059(gather)
     4115    0.560    0.000    0.560    0.000 {built-in method marshal.loads}
588287/568971    0.554    0.000    0.559    0.000 {built-in method _abc._abc_subclasscheck}
     5330    0.006    0.000    0.554    0.000 array_ops.py:5275(gather_v2)
        2    0.000    0.000    0.549    0.275 implementation_selection.py:128(stub_fn)
       26    0.001    0.000    0.548    0.021 hager_zhang_lib.py:422(bracket)
        1    0.000    0.000    0.543    0.543 binomial.py:187(_random_binomial_noncpu)
       87    0.002    0.000    0.532    0.006 bfgs_utils.py:307(_restricted_func)
    25518    0.057    0.000    0.531    0.000 math_ops.py:1872(wrapper)
    20012    0.037    0.000    0.529    0.000 np_utils.py:530(_result_type_binary)
     5464    0.010    0.000    0.513    0.000 gen_array_ops.py:3885(gather_v2)
       91    0.001    0.000    0.512    0.006 find_modes.py:71(nll_and_grad)
       91    0.001    0.000    0.511    0.006 gradient.py:28(value_and_gradient)
     2776    0.032    0.000    0.510    0.000 gen_math_ops.py:6128(_max_eager_fallback)
4487/4322    0.029    0.000    0.510    0.000 <frozen importlib._bootstrap>:890(_find_spec)
       91    0.001    0.000    0.509    0.006 gradient.py:347(_value_and_grad_impl)
       91    0.001    0.000    0.496    0.005 gradient.py:320(_gradient_new)
    22934    0.056    0.000    0.492    0.000 np_array_ops.py:206(asarray)
   544408    0.488    0.000    0.488    0.000 context.py:990(scope_name)
  565/539    0.020    0.000    0.485    0.001 {built-in method builtins.dir}
   720638    0.417    0.000    0.479    0.000 tensor_shape.py:199(__init__)
        2    0.000    0.000    0.473    0.236 lazy_loader.py:34(_load)
        2    0.000    0.000    0.472    0.236 ksd.py:108(__call__)
     2774    0.018    0.000    0.467    0.000 gen_math_ops.py:11189(sub_eager_fallback)
        1    0.000    0.000    0.466    0.466 lazy_loader.py:56(__dir__)
   106620    0.092    0.000    0.463    0.000 tensor_util.py:808(constant_value)
     4885    0.031    0.000    0.459    0.000 gen_array_ops.py:8561(reshape_eager_fallback)
   272204    0.184    0.000    0.455    0.000 ops.py:6947(_restore_name_scope)
        2    0.400    0.200    0.451    0.225 ksdagg.py:67(ksdagg_wild_custom)
  3677956    0.448    0.000    0.448    0.000 {method 'append' of 'list' objects}
     1500    0.008    0.000    0.445    0.000 function_context.py:123(make_cache_key)
        4    0.003    0.001    0.444    0.111 langevin.py:41(prepare_proposal_input_all)
    18257    0.011    0.000    0.439    0.000 nest.py:691(pack_sequence_as)
     1498    0.003    0.000    0.438    0.000 <decorator-gen-158>:1(__init__)
    20010    0.039    0.000    0.438    0.000 np_utils.py:647(logical_or)
        1    0.000    0.000    0.435    0.435 figure.py:1(<module>)
    18257    0.032    0.000    0.428    0.000 nest.py:651(_pack_sequence_as)
     2774    0.012    0.000    0.426    0.000 np_array_ops.py:367(any)
      134    0.007    0.000    0.425    0.003 array_ops.py:1827(boolean_mask)
      114    0.001    0.000    0.421    0.004 artist.py:1730(kwdoc)
4395/4343    0.007    0.000    0.418    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
    32941    0.104    0.000    0.416    0.000 np_dtypes.py:102(_result_type)
    12904    0.007    0.000    0.414    0.000 ops.py:1430(convert_to_tensor_v2_with_dispatch)
     1617    0.005    0.000    0.408    0.000 array_ops.py:4723(where_v2)
    12904    0.011    0.000    0.407    0.000 ops.py:1498(convert_to_tensor_v2)
      801    0.006    0.000    0.407    0.001 broadcast_util.py:62(where_left_justified_mask)
