Tue Dec  6 22:24:17 2022    profile.o

         146142480 function calls (141306574 primitive calls) in 213.205 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.000    0.000 gradients_util.py:795(_SetGrad)
      189    0.000    0.000    0.000    0.000 status_codes.py:112(<genexpr>)
       15    0.000    0.000    0.000    0.000 rcsetup.py:85(_listify_validator)
        1    0.000    0.000    0.000    0.000 monitored_session.py:723(_MonitoredSession)
      107    0.000    0.000    0.000    0.000 {method 'mro' of 'type' objects}
        1    0.000    0.000    0.000    0.000 trsock.py:1(<module>)
        1    0.000    0.000    0.000    0.000 feedparser.py:101(push)
        1    0.000    0.000    0.000    0.000 constants.py:24(_SendfileMode)
        3    0.000    0.000    0.000    0.000 __init__.py:498(PYFUNCTYPE)
       44    0.000    0.000    0.000    0.000 doc_controls.py:127(do_not_doc_inheritable)
        1    0.000    0.000    0.000    0.000 typing_extensions.py:1781(Annotated)
        2    0.000    0.000    0.000    0.000 nanops.py:1021(_nanminmax)
        1    0.000    0.000    0.000    0.000 trirefine.py:1(<module>)
      120    0.000    0.000    0.000    0.000 patches.py:2183(<genexpr>)
        1    0.000    0.000    0.000    0.000 _parser.py:1371(_tzparser)
       61    0.000    0.000    0.000    0.000 inspect.py:285(isbuiltin)
        1    0.000    0.000    0.000    0.000 backend_bases.py:1362(MouseButton)
       29    0.000    0.000    0.000    0.000 pathlib.py:804(name)
        1    0.000    0.000    0.000    0.000 student_t.py:144(StudentT)
        1    0.000    0.000    0.000    0.000 timeout.py:1(<module>)
        4    0.000    0.000    0.000    0.000 nanops.py:454(maybe_operate_rowwise)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1247(__len__)
        8    0.000    0.000    0.000    0.000 auto_control_deps.py:200(__init__)
        1    0.000    0.000    0.000    0.000 asserts.py:15(<module>)
       26    0.000    0.000    0.000    0.000 generic.py:104(generate_property)
        3    0.000    0.000    0.000    0.000 _common.py:132(_validate_fromutc_inputs)
       14    0.000    0.000    0.000    0.000 ops.py:4821(__init__)
        1    0.000    0.000    0.000    0.000 managers.py:1679(<listcomp>)
        1    0.000    0.000    0.000    0.000 variable_scope_shim.py:556(VariableAndLossTracker)
       68    0.000    0.000    0.000    0.000 numpy_vjps.py:75(<lambda>)
        1    0.000    0.000    0.000    0.000 data_adapter.py:1094(DataHandler)
       36    0.000    0.000    0.000    0.000 {built-in method _struct.calcsize}
        1    0.000    0.000    0.000    0.000 fnmatch.py:1(<module>)
        1    0.000    0.000    0.000    0.000 anno.py:49(Basic)
        1    0.000    0.000    0.000    0.000 mnist.py:15(<module>)
        1    0.000    0.000    0.000    0.000 _pyxlsb.py:2(<module>)
        1    0.000    0.000    0.000    0.000 loss_scale_optimizer.py:564(LossScaleOptimizer)
        1    0.000    0.000    0.000    0.000 sorting.py:1(<module>)
        1    0.000    0.000    0.000    0.000 base_events.py:384(BaseEventLoop)
        1    0.000    0.000    0.000    0.000 timeseries_dataset.py:15(<module>)
       49    0.000    0.000    0.000    0.000 results.py:191(__getitem__)
        1    0.000    0.000    0.000    0.000 mvn_linear_operator.py:56(MultivariateNormalLinearOperator)
        1    0.000    0.000    0.000    0.000 interpreter.py:309(OpResolverType)
        2    0.000    0.000    0.000    0.000 astn.py:5(_generate_translators)
        1    0.000    0.000    0.000    0.000 mvn_low_rank_update_linear_operator_covariance.py:51(MultivariateNormalLowRankUpdateLinearOperatorCovariance)
        1    0.000    0.000    0.000    0.000 _lil.py:19(lil_matrix)
        1    0.000    0.000    0.000    0.000 patches.py:638(Shadow)
        1    0.000    0.000    0.000    0.000 _machar.py:1(<module>)
       13    0.000    0.000    0.000    0.000 common.py:1587(_is_dtype_type)
       58    0.000    0.000    0.000    0.000 feedparser.py:78(readline)
        1    0.000    0.000    0.000    0.000 _enums.py:27(JoinStyle)
        1    0.000    0.000    0.000    0.000 solve_registrations.py:15(<module>)
        4    0.000    0.000    0.000    0.000 common.py:1240(is_float_dtype)
        1    0.000    0.000    0.000    0.000 initialization.py:15(<module>)
        1    0.000    0.000    0.000    0.000 options.py:77(AutoShardPolicy)
        4    0.000    0.000    0.000    0.000 managers.py:156(blknos)
      122    0.000    0.000    0.000    0.000 ssl.py:139(<lambda>)
        1    0.000    0.000    0.000    0.000 tpu_embedding_v1.py:37(TPUEmbeddingV0)
        3    0.000    0.000    0.000    0.000 rcsetup.py:410(validate_whiskers)
        4    0.000    0.000    0.000    0.000 init_ops.py:552(__init__)
       60    0.000    0.000    0.000    0.000 patches.py:2199(_register_style)
        7    0.000    0.000    0.000    0.000 utils.py:162(cached_property)
        1    0.000    0.000    0.000    0.000 gamma.py:287(GammaWithSoftplusConcentrationRate)
        1    0.000    0.000    0.000    0.000 cycler.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:5365(lognorm_gen)
       15    0.000    0.000    0.000    0.000 types.py:79(resolve_bases)
       28    0.000    0.000    0.000    0.000 {method 'remove' of 'set' objects}
        1    0.000    0.000    0.000    0.000 _construct.py:1(<module>)
        1    0.000    0.000    0.000    0.000 typing.py:1937(BinaryIO)
        1    0.000    0.000    0.000    0.000 distribute_lib.py:3025(__init__)
       95    0.000    0.000    0.000    0.000 enum.py:223(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:1200(__init__)
        3    0.000    0.000    0.000    0.000 core.py:5451(__init__)
       25    0.000    0.000    0.000    0.000 object_identity.py:51(__eq__)
        1    0.000    0.000    0.000    0.000 {built-in method posix.unlink}
        1    0.000    0.000    0.000    0.000 dist.py:45(Distribution)
        4    0.000    0.000    0.000    0.000 rrule.py:80(_invalidates_cache)
       86    0.000    0.000    0.000    0.000 object_identity.py:32(__init__)
      119    0.000    0.000    0.000    0.000 expr.py:196(<lambda>)
        1    0.000    0.000    0.000    0.000 _globals.py:97(_CopyMode)
      359    0.000    0.000    0.000    0.000 typing.py:1391(final)
      211    0.000    0.000    0.000    0.000 typing.py:1149(cast)
        1    0.000    0.000    0.000    0.000 wire_format.py:31(<module>)
        2    0.000    0.000    0.000    0.000 data.py:335(__init__)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:6626(pearson3_gen)
        1    0.000    0.000    0.000    0.000 dirichlet_multinomial.py:54(DirichletMultinomial)
      122    0.000    0.000    0.000    0.000 ssl.py:144(<lambda>)
      122    0.000    0.000    0.000    0.000 ssl.py:129(<lambda>)
        2    0.000    0.000    0.000    0.000 device_spec.py:306(_get_valid_device_types)
        3    0.000    0.000    0.000    0.000 type_dispatch.py:49(add_target)
        1    0.000    0.000    0.000    0.000 numerictypes.py:597(find_common_type)
        2    0.000    0.000    0.000    0.000 {built-in method tensorflow.python._pywrap_tfe.TFE_MonitoringNewSampler2}
        1    0.000    0.000    0.000    0.000 dense.py:31(Dense)
        3    0.000    0.000    0.000    0.000 monkey.py:22(_get_mro)
        1    0.000    0.000    0.000    0.000 _decomp_ldl.py:1(<module>)
       81    0.000    0.000    0.000    0.000 overrides.py:110(set_module)
       86    0.000    0.000    0.000    0.000 fromnumeric.py:3351(_mean_dispatcher)
       80    0.000    0.000    0.000    0.000 numeric.py:939(_tensordot_dispatcher)
        1    0.000    0.000    0.000    0.000 logical_expressions.py:15(<module>)
        6    0.000    0.000    0.000    0.000 blocks.py:1991(get_block_type)
      122    0.000    0.000    0.000    0.000 ssl.py:149(<lambda>)
        1    0.000    0.000    0.000    0.000 highway_flow.py:117(HighwayFlow)
        3    0.000    0.000    0.000    0.000 core.py:1683(suppress)
        1    0.000    0.000    0.000    0.000 unnest.py:15(<module>)
       45    0.000    0.000    0.000    0.000 inspect.py:90(ismethoddescriptor)
       31    0.000    0.000    0.000    0.000 core.py:4100(<genexpr>)
        1    0.000    0.000    0.000    0.000 format.py:679(_initialize_justify)
        1    0.000    0.000    0.000    0.000 tritools.py:1(<module>)
        1    0.000    0.000    0.000    0.000 proximal_hessian_sparse.py:15(<module>)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(nonzero)
        2    0.000    0.000    0.000    0.000 function_context.py:106(_enclosing_xla_context)
       16    0.000    0.000    0.000    0.000 results.py:431(__iadd__)
        4    0.000    0.000    0.000    0.000 {method 'argsort' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 api.py:331(default_index)
        1    0.000    0.000    0.000    0.000 gradients_util.py:247(_StopOps)
        1    0.000    0.000    0.000    0.000 {built-in method tensorflow.python._pywrap_tfe.TFE_MonitoringNewStringGauge1}
        1    0.000    0.000    0.000    0.000 deferred_tensor.py:416(TransformedVariable)
        6    0.000    0.000    0.000    0.000 rcsetup.py:174(_make_type_validator)
        1    0.000    0.000    0.000    0.000 lite.py:1215(TFLiteKerasModelConverterV2)
        1    0.000    0.000    0.000    0.000 compare.py:16(<module>)
      162    0.000    0.000    0.000    0.000 expr.py:256(_node_not_implemented)
        1    0.000    0.000    0.000    0.000 gru_lstm_utils.py:15(<module>)
        1    0.000    0.000    0.000    0.000 metrics_utils.py:31(Reduction)
        4    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(trim_zeros)
        1    0.000    0.000    0.000    0.000 wait.py:1(<module>)
        1    0.000    0.000    0.000    0.000 context.py:182(__init__)
       44    0.000    0.000    0.000    0.000 unicode.py:17(<genexpr>)
        1    0.000    0.000    0.000    0.000 argparse.py:1086(_SubParsersAction)
       93    0.000    0.000    0.000    0.000 _inspect.py:131(strseq)
        1    0.000    0.000    0.000    0.000 xml_reporter.py:36(<dictcomp>)
        9    0.000    0.000    0.000    0.000 overrides.py:23(set_array_function_like_doc)
       46    0.000    0.000    0.000    0.000 six.py:105(__init__)
        1    0.000    0.000    0.000    0.000 convert_phase.py:26(Component)
        1    0.000    0.000    0.000    0.000 tpu_replicated_variable.py:41(TPUReplicatedVariable)
       58    0.000    0.000    0.000    0.000 inspect.py:909(tokeneater)
        1    0.000    0.000    0.000    0.000 ssl.py:168(_TLSContentType)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:577(beta_gen)
        1    0.000    0.000    0.000    0.000 ast.py:51(literal_eval)
        2    0.000    0.000    0.000    0.000 ksd.py:395(__init__)
        1    0.000    0.000    0.000    0.000 collective_util.py:26(CommunicationImplementation)
       18    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:18(type_aliases_gen)
        1    0.000    0.000    0.000    0.000 saveable_object.py:15(<module>)
        1    0.000    0.000    0.000    0.000 axis3d.py:35(Axis)
        1    0.000    0.000    0.000    0.000 sysconfig.py:200(joinuser)
        1    0.000    0.000    0.000    0.000 log_prob_ratio.py:15(<module>)
        1    0.000    0.000    0.000    0.000 core.py:3262(__init__)
        1    0.000    0.000    0.000    0.000 signals.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ops.py:6406(GraphKeys)
        8    0.000    0.000    0.000    0.000 flags.py:40(_wrap_define_function)
        1    0.000    0.000    0.000    0.000 recurrent.py:197(RNN)
        1    0.000    0.000    0.000    0.000 __init__.py:430(<listcomp>)
        1    0.000    0.000    0.000    0.000 csvs.py:112(_initialize_index_label)
        4    0.000    0.000    0.000    0.000 message.py:564(get_content_type)
        8    0.000    0.000    0.000    0.000 rcsetup.py:215(_validate_pathlike)
        4    0.000    0.000    0.000    0.000 {built-in method tensorflow.python._pywrap_tfe.TFE_MonitoringGetCellCounter0}
        1    0.000    0.000    0.000    0.000 samplers.py:15(<module>)
        1    0.000    0.000    0.000    0.000 smart_cond.py:15(<module>)
        1    0.000    0.000    0.000    0.000 context.py:1433(<listcomp>)
        1    0.000    0.000    0.000    0.000 appdirs.py:6(<module>)
       59    0.000    0.000    0.000    0.000 dataclasses.py:468(_init_param)
        1    0.000    0.000    0.000    0.000 op_selector.py:15(<module>)
        1    0.000    0.000    0.000    0.000 cpp_message.py:31(<module>)
        3    0.000    0.000    0.000    0.000 threading.py:505(__init__)
        1    0.000    0.000    0.000    0.000 getlimits.py:562(tiny)
       26    0.000    0.000    0.000    0.000 accessor.py:92(_create_delegator_method)
       17    0.000    0.000    0.000    0.000 dtypes.py:891(construct_from_string)
        2    0.000    0.000    0.000    0.000 ksd.py:266(__init__)
      158    0.000    0.000    0.000    0.000 core.py:43(defvjp_argnums)
       44    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1211(_find_parent_path_names)
      205    0.000    0.000    0.000    0.000 np_utils.py:299(is_check_link)
        1    0.000    0.000    0.000    0.000 specifiers.py:722(contains)
       96    0.000    0.000    0.000    0.000 __init__.py:3138(_always_object)
      148    0.000    0.000    0.000    0.000 typing.py:1362(overload)
      232    0.000    0.000    0.000    0.000 all_util.py:45(<genexpr>)
       62    0.000    0.000    0.000    0.000 lazy.py:96(lazy)
        1    0.000    0.000    0.000    0.000 transformer.py:28(AnalysisLevel)
        1    0.000    0.000    0.000    0.000 metrics_utils.py:49(Reduction)
        1    0.000    0.000    0.000    0.000 __init__.py:877(find_distributions)
        1    0.000    0.000    0.000    0.000 __init__.py:260(__init__)
       20    0.000    0.000    0.000    0.000 goftest.py:31(__init__)
        1    0.000    0.000    0.000    0.000 socket.py:219(__init__)
       24    0.000    0.000    0.000    0.000 numpy_boxes.py:21(__len__)
       26    0.000    0.000    0.000    0.000 {method 'tobytes' of 'numpy.ndarray' objects}
        5    0.000    0.000    0.000    0.000 type_checkers.py:162(CheckValue)
        3    0.000    0.000    0.000    0.000 blocks.py:129(maybe_split)
        1    0.000    0.000    0.000    0.000 nested_structure_coder.py:463(_TypeSpecCodec)
        1    0.000    0.000    0.000    0.000 loss_scale_optimizer.py:1000(LossScaleOptimizerV3)
       70    0.000    0.000    0.000    0.000 gradients_util.py:370(_IsFunction)
       11    0.000    0.000    0.000    0.000 np_utils.py:443(np_doc_only)
        1    0.000    0.000    0.000    0.000 dispatch.py:528(register_dispatchable_type)
       93    0.000    0.000    0.000    0.000 enum.py:748(name)
        2    0.000    0.000    0.000    0.000 abc.py:7(ResourceReader)
       76    0.000    0.000    0.000    0.000 multiarray.py:341(where)
        1    0.000    0.000    0.000    0.000 utils.py:162(__init__)
        5    0.000    0.000    0.000    0.000 message.py:462(get)
        1    0.000    0.000    0.000    0.000 _rbf.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pdb.py:138(Pdb)
        1    0.000    0.000    0.000    0.000 _rotation_spline.py:1(<module>)
        2    0.000    0.000    0.000    0.000 _methods.py:106(_clip_dep_invoke_with_casting)
        1    0.000    0.000    0.000    0.000 _weakrefset.py:106(remove)
       29    0.000    0.000    0.000    0.000 function_spec.py:188(<dictcomp>)
        1    0.000    0.000    0.000    0.000 def_function.py:545(Function)
        6    0.000    0.000    0.000    0.000 _collections_abc.py:816(clear)
        4    0.000    0.000    0.000    0.000 _methods.py:91(_clip_dep_is_scalar_nan)
        5    0.000    0.000    0.000    0.000 construction.py:379(extract_array)
      135    0.000    0.000    0.000    0.000 core.py:3803(<genexpr>)
        1    0.000    0.000    0.000    0.000 traceable_stack.py:15(<module>)
        1    0.000    0.000    0.000    0.000 density.py:24(from_log_den)
       12    0.000    0.000    0.000    0.000 utils.py:155(deprecated)
       28    0.000    0.000    0.000    0.000 {method 'fullmatch' of 're.Pattern' objects}
       10    0.000    0.000    0.000    0.000 deprecation.py:570(deprecated_arg_values)
       12    0.000    0.000    0.000    0.000 _multivariate.py:189(__init__)
      257    0.000    0.000    0.000    0.000 hmac.py:17(<genexpr>)
        1    0.000    0.000    0.000    0.000 ocsp.py:35(OCSPResponseStatus)
        4    0.000    0.000    0.000    0.000 nanops.py:389(_datetimelike_compat)
        1    0.000    0.000    0.000    0.000 getopt.py:1(<module>)
        1    0.000    0.000    0.000    0.000 c_api_util.py:96(ScopedTFFunction)
      169    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
        1    0.000    0.000    0.000    0.000 getlimits.py:539(smallest_normal)
        1    0.000    0.000    0.000    0.000 big5prober.py:28(<module>)
        1    0.000    0.000    0.000    0.000 text_format.py:1254(__init__)
       25    0.000    0.000    0.000    0.000 ops.py:4254(get_collection_ref)
        1    0.000    0.000    0.000    0.000 numpy_dataset.py:15(<module>)
        1    0.000    0.000    0.000    0.000 special_math.py:71(<module>)
      154    0.000    0.000    0.000    0.000 core.py:1700(leave_whitespace)
        3    0.000    0.000    0.000    0.000 pathlib.py:374(gethomedir)
        4    0.000    0.000    0.000    0.000 util.py:39(__exit__)
       30    0.000    0.000    0.000    0.000 _type_aliases.py:194(_add_array_type)
        2    0.000    0.000    0.000    0.000 methods.py:14(_get_method_wrappers)
       14    0.000    0.000    0.000    0.000 array_ops.py:398(get_array_op)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1218(IPv4Address)
        1    0.000    0.000    0.000    0.000 variables.py:69(VariableSynchronization)
        8    0.000    0.000    0.000    0.000 inspect.py:2108(_signature_from_builtin)
        1    0.000    0.000    0.000    0.000 np_array_ops.py:1492(_UpdateMethod)
       17    0.000    0.000    0.000    0.000 dtypes.py:1144(construct_from_string)
        1    0.000    0.000    0.000    0.000 beta.py:350(BetaWithSoftplusConcentration)
       19    0.000    0.000    0.000    0.000 _distn_infrastructure.py:2982(__new__)
        1    0.000    0.000    0.000    0.000 dense_variational.py:556(DenseFlipout)
       58    0.000    0.000    0.000    0.000 tensor_conversion_registry.py:95(<genexpr>)
        1    0.000    0.000    0.000    0.000 nest_util.py:15(<module>)
        1    0.000    0.000    0.000    0.000 ImageStat.py:24(<module>)
       58    0.000    0.000    0.000    0.000 <string>:1(__new__)
        1    0.000    0.000    0.000    0.000 values.py:41(RemoteValueStatus)
       23    0.000    0.000    0.000    0.000 argparse.py:1526(_pop_action_class)
       12    0.000    0.000    0.000    0.000 core.py:5667(<lambda>)
       13    0.000    0.000    0.000    0.000 control_flow_util.py:103(IsLoopExit)
        1    0.000    0.000    0.000    0.000 variables.py:132(VariableAggregation)
       97    0.000    0.000    0.000    0.000 core.py:5713(<genexpr>)
        1    0.000    0.000    0.000    0.000 _mstats_extras.py:1(<module>)
       99    0.000    0.000    0.000    0.000 inspect.py:487(getmro)
        1    0.000    0.000    0.000    0.000 wrappers.py:15(with_metaclass)
        1    0.000    0.000    0.000    0.000 student_t.py:367(StudentTWithAbsDfSoftplusScale)
        1    0.000    0.000    0.000    0.000 tf_should_use.py:154(set_body)
        2    0.000    0.000    0.000    0.000 _defines.py:257(disclaim_key_flags)
        1    0.000    0.000    0.000    0.000 text_encoding.py:51(<listcomp>)
        1    0.000    0.000    0.000    0.000 core.py:188(VSpace)
        1    0.000    0.000    0.000    0.000 contextlib.py:71(__call__)
        2    0.000    0.000    0.000    0.000 weakref.py:159(__setitem__)
        2    0.000    0.000    0.000    0.000 backend.py:146(_get_osurandom_engine)
        1    0.000    0.000    0.000    0.000 base_preprocessing_layer.py:34(PreprocessingLayer)
        4    0.000    0.000    0.000    0.000 missing.py:835(_datetimelike_compat)
        1    0.000    0.000    0.000    0.000 {built-in method _openssl.X509_new}
        1    0.000    0.000    0.000    0.000 variable_scope_shim.py:780(VariableScopeLayer)
        1    0.000    0.000    0.000    0.000 _ndgriddata.py:1(<module>)
        1    0.000    0.000    0.000    0.000 generic.py:5517(__finalize__)
       27    0.000    0.000    0.000    0.000 {method 'rsplit' of 'str' objects}
        1    0.000    0.000    0.000    0.000 feature_column_v2.py:44(EmbeddingDevice)
        1    0.000    0.000    0.000    0.000 hebrewprober.py:28(<module>)
        1    0.000    0.000    0.000    0.000 numeric.py:2131(identity)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1205(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_InitEagerTensor}
      103    0.000    0.000    0.000    0.000 fromnumeric.py:2670(_amax_dispatcher)
        1    0.000    0.000    0.000    0.000 subprocess.py:1761(_try_wait)
       52    0.000    0.000    0.000    0.000 numpy_vjps.py:101(<lambda>)
        1    0.000    0.000    0.000    0.000 cmac.py:5(<module>)
        1    0.000    0.000    0.000    0.000 base_preprocessing_layer.py:40(PreprocessingLayer)
        2    0.000    0.000    0.000    0.000 variable_scope_shim.py:130(_EagerVariableStore)
        3    0.000    0.000    0.000    0.000 datetime.py:1567(__new__)
       58    0.000    0.000    0.000    0.000 argparse.py:1324(_registry_get)
        1    0.000    0.000    0.000    0.000 heartbeat.py:15(<module>)
        1    0.000    0.000    0.000    0.000 tpu_embedding_v2_utils.py:381(AdagradMomentum)
        1    0.000    0.000    0.000    0.000 patches.py:1041(Polygon)
        1    0.000    0.000    0.000    0.000 __init__.py:231(parse)
        1    0.000    0.000    0.000    0.000 config_lib.py:34(Action)
        1    0.000    0.000    0.000    0.000 oid.py:124(ExtendedKeyUsageOID)
        8    0.000    0.000    0.000    0.000 math_ops.py:2112(<listcomp>)
        1    0.000    0.000    0.000    0.000 datatype.py:19(Datatype)
        7    0.000    0.000    0.000    0.000 _threadsafety.py:25(__init__)
        3    0.000    0.000    0.000    0.000 range.py:167(_simple_new)
        1    0.000    0.000    0.000    0.000 _index.py:1(<module>)
       60    0.000    0.000    0.000    0.000 numpy_vjps.py:69(<lambda>)
       14    0.000    0.000    0.000    0.000 ops.py:4888(_push_control_dependencies_controller)
        9    0.000    0.000    0.000    0.000 ag_ctx.py:28(_control_ctx)
        1    0.000    0.000    0.000    0.000 device_assignment.py:321(DeviceOrderMode)
        1    0.000    0.000    0.000    0.000 uuid.py:72(SafeUUID)
        1    0.000    0.000    0.000    0.000 SSL.py:1537(Connection)
        1    0.000    0.000    0.000    0.000 excel.py:96(CSSToExcelConverter)
        1    0.000    0.000    0.000    0.000 variational_sgd.py:15(<module>)
        1    0.000    0.000    0.000    0.000 tpu_name_util.py:15(<module>)
        1    0.000    0.000    0.000    0.000 wrappers.py:73(ObjectProxy)
        1    0.000    0.000    0.000    0.000 {built-in method tensorflow.python._pywrap_tfe.TFE_NewContextOptions}
        1    0.000    0.000    0.000    0.000 _decomp_svd.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _trustregion.py:1(<module>)
        1    0.000    0.000    0.000    0.000 lite.py:1863(TFLiteConverterBaseV1)
        1    0.000    0.000    0.000    0.000 tpu_hardware_feature.py:34(EmbeddingFeature)
        1    0.000    0.000    0.000    0.000 std.py:576(_get_free_pos)
        1    0.000    0.000    0.000    0.000 glo.py:12(get_root)
        1    0.000    0.000    0.000    0.000 extension_type_field.py:179(_ConversionContext)
        1    0.000    0.000    0.000    0.000 laplace.py:216(LaplaceWithSoftplusScale)
        1    0.000    0.000    0.000    0.000 descriptor_pool.py:118(DescriptorPool)
        2    0.000    0.000    0.000    0.000 variables.py:154(validate_synchronization_aggregation_trainable)
        1    0.000    0.000    0.000    0.000 _writer.py:15(<module>)
        1    0.000    0.000    0.000    0.000 tf_logging.py:147(debug)
        1    0.000    0.000    0.000    0.000 tpu_embedding_v2_utils.py:268(Adagrad)
       25    0.000    0.000    0.000    0.000 ipaddress.py:476(_prefix_from_prefix_string)
      156    0.000    0.000    0.000    0.000 pyparsing.py:2052(leaveWhitespace)
       16    0.000    0.000    0.000    0.000 object_identity.py:234(<listcomp>)
        1    0.000    0.000    0.000    0.000 record_writer.py:16(<module>)
       14    0.000    0.000    0.000    0.000 rcsetup.py:152(validate_axisbelow)
       27    0.000    0.000    0.000    0.000 {built-in method tensorflow.python._pywrap_tfe.TFE_MonitoringBoolGaugeCellSet}
       59    0.000    0.000    0.000    0.000 dataclasses.py:402(_field_assign)
        1    0.000    0.000    0.000    0.000 _cm.py:158(<dictcomp>)
       47    0.000    0.000    0.000    0.000 {method 'issuperset' of 'set' objects}
        1    0.000    0.000    0.000    0.000 backend_bases.py:2863(_Mode)
       46    0.000    0.000    0.000    0.000 {built-in method numpy.geterrobj}
        1    0.000    0.000    0.000    0.000 tr_interior_point.py:1(<module>)
        1    0.000    0.000    0.000    0.000 orthogonal.py:5(<module>)
       16    0.000    0.000    0.000    0.000 device_spec.py:30(_as_str_or_none)
        1    0.000    0.000    0.000    0.000 contextlib.py:482(__exit__)
       60    0.000    0.000    0.000    0.000 {method 'set_getattr_callback' of 'fast_module_type.FastModuleType' objects}
        1    0.000    0.000    0.000    0.000 doc_controls.py:15(<module>)
       32    0.000    0.000    0.000    0.000 pyparsing.py:2751(charsAsStr)
      108    0.000    0.000    0.000    0.000 patches.py:2176(<genexpr>)
        1    0.000    0.000    0.000    0.000 traceable_stack.py:31(set_filename_and_line_from_caller)
        1    0.000    0.000    0.000    0.000 inverse_gaussian.py:45(InverseGaussian)
        1    0.000    0.000    0.000    0.000 ops.py:1968(Operation)
        1    0.000    0.000    0.000    0.000 normal.py:245(NormalWithSoftplusScale)
        1    0.000    0.000    0.000    0.000 datetime.py:1559(datetime)
        4    0.000    0.000    0.000    0.000 math_ops.py:1871(_promote_dtypes_decorator)
        1    0.000    0.000    0.000    0.000 tpu_embedding_v2_utils.py:670(Adam)
        1    0.000    0.000    0.000    0.000 parsing.py:1(<module>)
       14    0.000    0.000    0.000    0.000 control_flow_util.py:64(InXlaContext)
        1    0.000    0.000    0.000    0.000 trackable_utils.py:15(<module>)
       20    0.000    0.000    0.000    0.000 pyparsing.py:2963(__str__)
       85    0.000    0.000    0.000    0.000 cycler.py:165(keys)
       26    0.000    0.000    0.000    0.000 bfgs_utils.py:264(_restrict_along_direction)
        1    0.000    0.000    0.000    0.000 saveable_hook.py:15(<module>)
        2    0.000    0.000    0.000    0.000 pyparsing.py:3368(And)
        1    0.000    0.000    0.000    0.000 common.py:497(infer_compression)
        1    0.000    0.000    0.000    0.000 base_parser.py:75(BadLineHandleMethod)
       15    0.000    0.000    0.000    0.000 deprecation.py:244(__init__)
        1    0.000    0.000    0.000    0.000 registrations_util.py:34(<module>)
        2    0.000    0.000    0.000    0.000 monitoring.py:426(__init__)
        1    0.000    0.000    0.000    0.000 boston_housing.py:15(<module>)
        1    0.000    0.000    0.000    0.000 cancellation.py:15(<module>)
        1    0.000    0.000    0.000    0.000 _decomp_cossin.py:2(<module>)
        1    0.000    0.000    0.000    0.000 text_format.py:1523(ConsumeEnum)
        1    0.000    0.000    0.000    0.000 ssl.py:971(SSLSocket)
       22    0.000    0.000    0.000    0.000 _docscrape.py:50(read)
        1    0.000    0.000    0.000    0.000 tpu_embedding_v2_utils.py:166(SGD)
        1    0.000    0.000    0.000    0.000 patches.py:1138(Wedge)
        1    0.000    0.000    0.000    0.000 variables.py:97(VariableAggregationV2)
       12    0.000    0.000    0.000    0.000 linalg.py:129(_realType)
      174    0.000    0.000    0.000    0.000 {method 'append' of 'DescriptorSequence' objects}
       36    0.000    0.000    0.000    0.000 numpy_boxes.py:16(<lambda>)
       54    0.000    0.000    0.000    0.000 version.py:500(<genexpr>)
        1    0.000    0.000    0.000    0.000 variable_input.py:15(<module>)
        1    0.000    0.000    0.000    0.000 euctwprober.py:28(<module>)
        1    0.000    0.000    0.000    0.000 SSL.py:679(Context)
        1    0.000    0.000    0.000    0.000 lambertw_f.py:165(LambertWNormal)
        9    0.000    0.000    0.000    0.000 fontconfig_pattern.py:150(_families)
        4    0.000    0.000    0.000    0.000 op_def_library.py:232(_MakeFunc)
        9    0.000    0.000    0.000    0.000 deprecation.py:469(deprecate_method_override)
        1    0.000    0.000    0.000    0.000 os.py:46(<listcomp>)
        1    0.000    0.000    0.000    0.000 base.py:53(PublicFormat)
        2    0.000    0.000    0.000    0.000 message_factory.py:59(__init__)
       36    0.000    0.000    0.000    0.000 function_pb2.py:6(<lambda>)
        1    0.000    0.000    0.000    0.000 exponential.py:143(ExponentialWithSoftplusRate)
        2    0.000    0.000    0.000    0.000 matfuncs.py:5(<module>)
        1    0.000    0.000    0.000    0.000 core.py:3459(__init__)
        1    0.000    0.000    0.000    0.000 uu.py:27(<module>)
        1    0.000    0.000    0.000    0.000 certificate_transparency.py:13(LogEntryType)
