n,p_value,var_est,seed,type
500,0.517,0.0,58,target noiseless
500,0.0,16.0,59,off-target
500,0.666,0.0,59,off-target noiseless
500,0.051,16.0,59,target
500,0.077,0.0,59,target noiseless
500,0.0,16.0,60,off-target
500,0.214,0.0,60,off-target noiseless
500,0.265,4.0,60,target
500,0.524,0.0,60,target noiseless
500,0.001,16.0,61,off-target
500,0.125,0.0,61,off-target noiseless
500,0.85,16.0,61,target
500,0.854,0.0,61,target noiseless
500,0.0,16.0,62,off-target
500,0.162,0.0,62,off-target noiseless
500,0.891,256.0,62,target
500,0.371,0.0,62,target noiseless
500,0.004,16.0,63,off-target
500,0.754,0.0,63,off-target noiseless
500,0.023,4.0,63,target
500,0.564,0.0,63,target noiseless
500,0.115,16.0,64,off-target
500,0.903,0.0,64,off-target noiseless
500,0.429,16.0,64,target
500,0.032,0.0,64,target noiseless
500,0.001,16.0,65,off-target
500,0.14,0.0,65,off-target noiseless
500,0.09,4.0,65,target
500,0.516,0.0,65,target noiseless
500,0.027,16.0,66,off-target
500,0.856,0.0,66,off-target noiseless
500,0.843,0.25,66,target
500,0.409,0.0,66,target noiseless
500,0.0,16.0,67,off-target
500,0.835,0.0,67,off-target noiseless
500,0.612,1024.0,67,target
500,0.205,0.0,67,target noiseless
500,0.0,16.0,68,off-target
500,0.967,0.0,68,off-target noiseless
500,0.993,4.0,68,target
500,0.472,0.0,68,target noiseless
500,0.009,16.0,69,off-target
500,0.342,0.0,69,off-target noiseless
500,0.258,4.0,69,target
500,0.901,0.0,69,target noiseless
500,0.02,16.0,70,off-target
500,0.188,0.0,70,off-target noiseless
500,0.937,64.0,70,target
500,0.425,0.0,70,target noiseless
500,0.0,16.0,71,off-target
500,0.811,0.0,71,off-target noiseless
500,0.689,256.0,71,target
500,0.95,0.0,71,target noiseless
500,0.0,16.0,72,off-target
500,0.169,0.0,72,off-target noiseless
500,0.953,64.0,72,target
500,0.106,0.0,72,target noiseless
500,0.0,16.0,73,off-target
500,0.381,0.0,73,off-target noiseless
500,0.389,1.0,73,target
500,0.982,0.0,73,target noiseless
500,0.415,0.25,74,off-target
500,0.881,0.0,74,off-target noiseless
500,0.144,64.0,74,target
500,0.245,0.0,74,target noiseless
500,0.009,16.0,75,off-target
500,1.0,0.0,75,off-target noiseless
500,0.341,4.0,75,target
500,0.46,0.0,75,target noiseless
500,0.024,16.0,76,off-target
500,0.275,0.0,76,off-target noiseless
500,0.146,0.0625,76,target
500,0.93,0.0,76,target noiseless
500,0.0,16.0,77,off-target
500,0.544,0.0,77,off-target noiseless
500,0.521,64.0,77,target
500,0.095,0.0,77,target noiseless
500,0.0,16.0,78,off-target
500,0.065,0.0,78,off-target noiseless
500,0.091,16.0,78,target
500,0.054,0.0,78,target noiseless
500,0.177,16.0,79,off-target
500,0.635,0.0,79,off-target noiseless
500,0.393,4.0,79,target
500,0.017,0.0,79,target noiseless
500,0.0,16.0,80,off-target
500,0.71,0.0,80,off-target noiseless
500,0.812,4.0,80,target
500,0.523,0.0,80,target noiseless
500,0.0,16.0,81,off-target
500,0.464,0.0,81,off-target noiseless
500,0.371,16.0,81,target
500,0.259,0.0,81,target noiseless
500,0.011,16.0,82,off-target
500,0.979,0.0,82,off-target noiseless
500,0.797,256.0,82,target
500,0.576,0.0,82,target noiseless
500,0.004,16.0,83,off-target
500,0.143,0.0,83,off-target noiseless
500,0.187,1024.0,83,target
500,0.665,0.0,83,target noiseless
500,0.002,16.0,84,off-target
500,0.685,0.0,84,off-target noiseless
500,0.433,16.0,84,target
500,0.641,0.0,84,target noiseless
500,0.035,16.0,85,off-target
500,0.648,0.0,85,off-target noiseless
500,0.482,0.0625,85,target
500,0.826,0.0,85,target noiseless
500,0.013,16.0,86,off-target
500,0.132,0.0,86,off-target noiseless
500,0.203,256.0,86,target
500,0.481,0.0,86,target noiseless
500,0.0,16.0,87,off-target
500,0.474,0.0,87,off-target noiseless
500,0.861,16.0,87,target
500,0.994,0.0,87,target noiseless
500,0.098,16.0,88,off-target
500,0.6,0.0,88,off-target noiseless
500,0.61,0.0625,88,target
500,0.154,0.0,88,target noiseless
500,0.002,16.0,89,off-target
500,0.794,0.0,89,off-target noiseless
500,0.628,1.0,89,target
500,0.332,0.0,89,target noiseless
500,0.797,4.0,90,off-target
500,0.023,0.0,90,off-target noiseless
500,0.404,4096.0,90,target
500,0.223,0.0,90,target noiseless
500,0.001,16.0,91,off-target
500,0.066,0.0,91,off-target noiseless
500,0.935,4.0,91,target
500,0.34,0.0,91,target noiseless
500,0.0,16.0,92,off-target
500,0.596,0.0,92,off-target noiseless
500,0.961,64.0,92,target
500,0.174,0.0,92,target noiseless
500,0.0,16.0,93,off-target
500,0.202,0.0,93,off-target noiseless
500,0.748,16384.0,93,target
500,0.865,0.0,93,target noiseless
500,0.01,16.0,94,off-target
500,0.062,0.0,94,off-target noiseless
500,0.129,4.0,94,target
500,0.104,0.0,94,target noiseless
500,0.0,16.0,95,off-target
500,0.339,0.0,95,off-target noiseless
500,0.008,16.0,95,target
500,0.428,0.0,95,target noiseless
500,0.012,16.0,96,off-target
500,0.526,0.0,96,off-target noiseless
500,0.957,0.0625,96,target
500,0.256,0.0,96,target noiseless
500,0.004,16.0,97,off-target
500,0.377,0.0,97,off-target noiseless
500,0.41,1.0,97,target
500,0.885,0.0,97,target noiseless
500,0.03,16.0,98,off-target
500,0.558,0.0,98,off-target noiseless
500,0.36,4.0,98,target
500,0.033,0.0,98,target noiseless
500,0.239,16.0,99,off-target
500,0.572,0.0,99,off-target noiseless
500,0.423,64.0,99,target
500,0.039,0.0,99,target noiseless
500,0.0,16.0,100,off-target
500,0.702,0.0,100,off-target noiseless
500,0.142,4.0,100,target
500,0.574,0.0,100,target noiseless
500,0.038,16.0,101,off-target
500,0.808,0.0,101,off-target noiseless
500,0.946,16.0,101,target
500,0.671,0.0,101,target noiseless
500,0.0,16.0,102,off-target
500,0.854,0.0,102,off-target noiseless
500,0.048,64.0,102,target
500,0.165,0.0,102,target noiseless
500,0.0,16.0,103,off-target
500,0.806,0.0,103,off-target noiseless
500,0.329,64.0,103,target
500,0.783,0.0,103,target noiseless
500,0.017,16.0,104,off-target
500,0.44,0.0,104,off-target noiseless
500,0.217,0.0625,104,target
500,0.466,0.0,104,target noiseless
500,0.0,16.0,105,off-target
500,0.734,0.0,105,off-target noiseless
500,0.148,0.25,105,target
500,0.241,0.0,105,target noiseless
500,0.001,16.0,106,off-target
500,0.316,0.0,106,off-target noiseless
500,0.565,1.0,106,target
500,0.25,0.0,106,target noiseless
500,0.02,16.0,107,off-target
500,0.402,0.0,107,off-target noiseless
500,0.78,16.0,107,target
500,0.877,0.0,107,target noiseless
500,0.001,16.0,108,off-target
500,0.977,0.0,108,off-target noiseless
500,0.689,16.0,108,target
500,0.747,0.0,108,target noiseless
500,0.074,16.0,109,off-target
500,0.406,0.0,109,off-target noiseless
500,0.348,16.0,109,target
500,0.254,0.0,109,target noiseless
500,0.0,16.0,110,off-target
500,0.06,0.0,110,off-target noiseless
500,0.467,256.0,110,target
500,0.551,0.0,110,target noiseless
500,0.011,16.0,111,off-target
500,0.444,0.0,111,off-target noiseless
500,0.192,16.0,111,target
500,0.595,0.0,111,target noiseless
500,0.162,16.0,112,off-target
500,0.243,0.0,112,off-target noiseless
500,0.21,64.0,112,target
500,0.013,0.0,112,target noiseless
500,0.01,16.0,113,off-target
500,0.106,0.0,113,off-target noiseless
500,0.453,4.0,113,target
500,0.528,0.0,113,target noiseless
500,0.062,16.0,114,off-target
500,0.334,0.0,114,off-target noiseless
500,0.78,4.0,114,target
500,0.347,0.0,114,target noiseless
500,0.0,16.0,115,off-target
500,0.581,0.0,115,off-target noiseless
500,0.755,1024.0,115,target
500,0.597,0.0,115,target noiseless
500,0.184,16.0,116,off-target
500,0.869,0.0,116,off-target noiseless
500,0.622,256.0,116,target
500,0.012,0.0,116,target noiseless
500,0.124,16.0,117,off-target
500,0.96,0.0,117,off-target noiseless
500,0.874,4.0,117,target
500,0.887,0.0,117,target noiseless
500,0.0,16.0,118,off-target
500,0.349,0.0,118,off-target noiseless
500,0.3,4.0,118,target
500,0.694,0.0,118,target noiseless
500,0.181,16.0,119,off-target
500,0.345,0.0,119,off-target noiseless
500,0.082,64.0,119,target
500,0.418,0.0,119,target noiseless
500,0.026,16.0,120,off-target
500,0.169,0.0,120,off-target noiseless
