n,p_value,seed,type
500,0.935,181,target
500,0.912,182,off-target
500,0.581,182,target
500,0.652,183,off-target
500,0.935,183,target
500,0.53,184,off-target
500,0.417,184,target
500,0.588,185,off-target
500,0.349,185,target
500,0.121,186,off-target
500,0.824,186,target
500,0.395,187,off-target
500,0.93,187,target
500,0.951,188,off-target
500,0.337,188,target
500,0.312,189,off-target
500,0.277,189,target
500,0.661,190,off-target
500,0.303,190,target
500,0.905,191,off-target
500,0.734,191,target
500,0.23,192,off-target
500,0.101,192,target
500,0.774,193,off-target
500,0.442,193,target
500,0.953,194,off-target
500,0.103,194,target
500,0.957,195,off-target
500,0.665,195,target
500,0.724,196,off-target
500,0.283,196,target
500,0.631,197,off-target
500,0.06,197,target
500,0.541,198,off-target
500,0.934,198,target
500,0.13,199,off-target
500,0.429,199,target
500,0.273,200,off-target
500,0.602,200,target
500,0.224,201,off-target
500,0.769,201,target
500,0.399,202,off-target
500,0.105,202,target
500,0.322,203,off-target
500,0.277,203,target
500,0.684,204,off-target
500,0.264,204,target
500,0.036,205,off-target
500,0.627,205,target
500,0.245,206,off-target
500,0.304,206,target
500,0.284,207,off-target
500,0.081,207,target
500,0.826,208,off-target
500,0.66,208,target
500,0.613,209,off-target
500,0.718,209,target
500,0.665,210,off-target
500,0.387,210,target
500,0.879,211,off-target
500,0.294,211,target
500,0.164,212,off-target
500,0.021,212,target
500,0.567,213,off-target
500,0.12,213,target
500,0.476,214,off-target
500,0.498,214,target
500,0.797,215,off-target
500,0.194,215,target
500,0.682,216,off-target
500,0.99,216,target
500,0.047,217,off-target
500,0.604,217,target
500,0.521,218,off-target
500,0.378,218,target
500,0.026,219,off-target
500,0.929,219,target
500,0.133,220,off-target
500,0.03,220,target
500,0.278,221,off-target
500,0.438,221,target
500,0.748,222,off-target
500,0.261,222,target
500,0.689,223,off-target
500,0.0,223,target
500,0.739,224,off-target
500,0.248,224,target
500,0.039,225,off-target
500,0.168,225,target
500,0.189,226,off-target
500,0.594,226,target
500,0.982,227,off-target
500,0.243,227,target
500,0.13,228,off-target
500,0.639,228,target
500,0.719,229,off-target
500,0.765,229,target
500,0.894,230,off-target
500,0.97,230,target
500,0.347,231,off-target
500,0.194,231,target
500,0.188,232,off-target
500,0.724,232,target
500,0.711,233,off-target
500,0.208,233,target
500,0.217,234,off-target
500,0.112,234,target
500,0.882,235,off-target
500,0.875,235,target
500,0.198,236,off-target
500,0.296,236,target
500,0.321,237,off-target
500,0.486,237,target
500,0.347,238,off-target
500,0.65,238,target
500,0.626,239,off-target
500,0.883,239,target
500,0.336,240,off-target
500,0.202,240,target
500,0.099,241,off-target
500,0.66,241,target
500,0.643,242,off-target
500,0.968,242,target
500,0.452,243,off-target
500,0.829,243,target
500,0.922,244,off-target
500,0.411,244,target
500,0.187,245,off-target
500,0.889,245,target
500,0.329,246,off-target
500,0.25,246,target
500,0.266,247,off-target
500,0.75,247,target
500,0.568,248,off-target
500,0.4,248,target
500,0.211,249,off-target
500,0.83,249,target
500,0.266,250,off-target
500,0.668,250,target
500,0.876,251,off-target
500,0.885,251,target
500,0.548,252,off-target
500,0.336,252,target
500,0.054,253,off-target
500,0.045,253,target
500,0.853,254,off-target
500,0.068,254,target
500,0.285,255,off-target
500,0.884,255,target
500,0.998,256,off-target
500,0.802,256,target
500,0.539,257,off-target
500,0.509,257,target
500,0.939,258,off-target
500,0.923,258,target
500,0.15,259,off-target
500,0.339,259,target
500,0.186,260,off-target
500,0.738,260,target
500,0.861,261,off-target
500,0.624,261,target
500,0.61,262,off-target
500,0.604,262,target
500,0.156,263,off-target
500,0.907,263,target
500,0.251,264,off-target
500,0.644,264,target
500,0.05,265,off-target
500,0.738,265,target
500,0.953,266,off-target
500,0.318,266,target
500,0.041,267,off-target
500,0.205,267,target
500,0.991,268,off-target
500,0.724,268,target
500,0.512,269,off-target
500,0.426,269,target
500,0.705,270,off-target
500,0.519,270,target
500,0.528,271,off-target
500,0.741,271,target
500,0.833,272,off-target
500,0.239,272,target
500,0.163,273,off-target
500,0.752,273,target
500,0.138,274,off-target
500,0.376,274,target
500,0.118,275,off-target
500,0.89,275,target
500,0.758,276,off-target
500,0.235,276,target
500,0.633,277,off-target
500,0.623,277,target
500,0.755,278,off-target
500,0.326,278,target
500,0.452,279,off-target
500,0.267,279,target
500,0.522,280,off-target
500,0.662,280,target
500,0.498,281,off-target
500,0.483,281,target
500,0.428,282,off-target
500,0.929,282,target
500,0.102,283,off-target
500,0.469,283,target
500,0.437,284,off-target
500,0.373,284,target
500,0.288,285,off-target
500,0.044,285,target
500,0.706,286,off-target
500,0.45,286,target
500,0.777,287,off-target
500,0.483,287,target
500,0.78,288,off-target
500,0.332,288,target
500,0.876,289,off-target
500,0.131,289,target
500,0.908,290,off-target
500,0.19,290,target
500,0.917,291,off-target
500,0.945,291,target
500,0.404,292,off-target
500,0.171,292,target
500,0.993,293,off-target
500,0.604,293,target
500,0.943,294,off-target
500,0.053,294,target
500,0.048,295,off-target
500,0.04,295,target
500,0.416,296,off-target
500,0.935,296,target
500,0.112,297,off-target
500,0.539,297,target
500,0.898,298,off-target
500,0.696,298,target
500,0.476,299,off-target
500,0.965,299,target
500,0.699,300,off-target
500,0.658,300,target
500,0.115,301,off-target
500,0.874,301,target
500,0.686,302,off-target
500,0.056,302,target
500,0.015,303,off-target
500,0.288,303,target
500,0.97,304,off-target
500,0.811,304,target
500,0.64,305,off-target
500,0.222,305,target
500,0.469,306,off-target
500,0.588,306,target
500,0.176,307,off-target
500,0.321,307,target
500,0.95,308,off-target
500,0.685,308,target
500,0.41,309,off-target
500,0.768,309,target
500,0.284,310,off-target
500,0.562,310,target
500,0.147,311,off-target
500,0.475,311,target
500,0.722,312,off-target
500,0.859,312,target
500,0.805,313,off-target
500,0.817,313,target
500,0.682,314,off-target
500,0.67,314,target
500,0.032,315,off-target
500,0.793,315,target
500,0.438,316,off-target
500,0.497,316,target
500,0.92,317,off-target
500,0.59,317,target
500,0.893,318,off-target
500,0.368,318,target
500,0.648,319,off-target
500,0.087,319,target
500,0.782,320,off-target
500,0.737,320,target
500,0.535,321,off-target
500,0.529,321,target
500,0.787,322,off-target
500,0.966,322,target
500,0.51,323,off-target
500,0.204,323,target
500,0.721,324,off-target
500,0.543,324,target
500,0.149,325,off-target
500,0.986,325,target
500,0.145,326,off-target
500,0.251,326,target
500,0.179,327,off-target
500,0.485,327,target
500,0.414,328,off-target
500,0.529,328,target
500,0.699,329,off-target
500,0.739,329,target
500,0.928,330,off-target
500,0.07,330,target
500,0.514,331,off-target
500,0.71,331,target
500,0.031,332,off-target
500,0.033,332,target
500,0.389,333,off-target
500,0.497,333,target
500,0.383,334,off-target
500,0.751,334,target
500,0.599,335,off-target
500,0.464,335,target
500,0.733,336,off-target
500,0.059,336,target
500,0.97,337,off-target
500,0.834,337,target
500,0.897,338,off-target
500,0.339,338,target
500,0.473,339,off-target
500,0.632,339,target
500,0.562,340,off-target
500,0.682,340,target
500,0.585,341,off-target
500,0.736,341,target
500,0.735,342,off-target
500,0.192,342,target
500,0.278,343,off-target
500,0.558,343,target
500,0.785,344,off-target
500,0.005,344,target
500,0.837,345,off-target
500,0.715,345,target
500,0.393,346,off-target
500,0.568,346,target
500,0.761,347,off-target
500,0.977,347,target
500,0.011,348,off-target
500,0.395,348,target
500,0.934,349,off-target
500,0.033,349,target
500,0.028,350,off-target
500,0.777,350,target
500,0.497,351,off-target
500,0.168,351,target
500,0.932,352,off-target
500,0.797,352,target
500,0.008,353,off-target
500,0.838,353,target
500,0.996,354,off-target
500,0.54,354,target
500,0.945,355,off-target
500,0.14,355,target
500,0.229,356,off-target
500,0.284,356,target
500,0.959,357,off-target
500,0.202,357,target
500,0.471,358,off-target
500,0.998,358,target
500,0.48,359,off-target
500,0.175,359,target
500,0.5,360,off-target
500,0.988,360,target
500,0.127,361,off-target
500,0.666,361,target
500,0.457,362,off-target
500,0.063,362,target
500,0.098,363,off-target
500,0.108,363,target
500,0.161,364,off-target
500,0.612,364,target
500,0.642,365,off-target
500,0.77,365,target
500,0.685,366,off-target
500,0.712,366,target
500,0.387,367,off-target
500,0.471,367,target
500,0.175,368,off-target
500,0.643,368,target
500,0.494,369,off-target
500,0.01,369,target
500,0.977,370,off-target
500,0.033,370,target
500,0.418,371,off-target
500,0.298,371,target
500,0.321,372,off-target
500,0.132,372,target
500,0.646,373,off-target
500,0.886,373,target
500,0.365,374,off-target
500,0.166,374,target
500,0.302,375,off-target
500,0.26,375,target
500,0.961,376,off-target
500,0.719,376,target
500,0.981,377,off-target
500,0.382,377,target
500,0.237,378,off-target
500,0.62,378,target
500,0.268,379,off-target
500,0.197,379,target
500,0.082,380,off-target
500,0.78,380,target
500,0.085,381,off-target
500,0.467,381,target
500,0.467,382,off-target
500,0.023,382,target
500,0.296,383,off-target
500,0.894,383,target
500,0.216,384,off-target
500,0.434,384,target
500,0.18,385,off-target
500,0.924,385,target
500,0.215,386,off-target
500,0.368,386,target
500,0.932,387,off-target
500,0.398,387,target
500,0.074,388,off-target
500,0.423,388,target
500,0.756,389,off-target
500,0.476,389,target
500,0.174,390,off-target
500,0.767,390,target
500,0.37,391,off-target
500,0.464,391,target
500,0.872,392,off-target
500,0.574,392,target
500,0.976,393,off-target
500,0.39,393,target
500,0.271,394,off-target
500,0.427,394,target
