n,t,p_value,seed,type
500,400,0.647,25,target
500,600,0.588,25,off-target
500,600,0.49,25,target
500,800,0.156,25,off-target
500,800,0.318,25,target
500,1000,0.686,25,off-target
500,1000,0.369,25,target
500,1200,0.25,25,off-target
500,1200,0.335,25,target
500,0,0.493,26,off-target
500,0,0.459,26,target
500,200,0.637,26,off-target
500,200,0.1,26,target
500,400,0.467,26,off-target
500,400,0.039,26,target
500,600,0.034,26,off-target
500,600,0.262,26,target
500,800,0.842,26,off-target
500,800,0.95,26,target
500,1000,0.586,26,off-target
500,1000,0.58,26,target
500,1200,0.554,26,off-target
500,1200,0.421,26,target
500,0,0.077,27,off-target
500,0,0.173,27,target
500,200,0.065,27,off-target
500,200,0.972,27,target
500,400,0.462,27,off-target
500,400,0.568,27,target
500,600,0.314,27,off-target
500,600,0.736,27,target
500,800,0.196,27,off-target
500,800,0.84,27,target
500,1000,0.237,27,off-target
500,1000,0.121,27,target
500,1200,0.604,27,off-target
500,1200,0.2,27,target
500,0,0.793,28,off-target
500,0,0.243,28,target
500,200,0.755,28,off-target
500,200,0.612,28,target
500,400,0.192,28,off-target
500,400,0.134,28,target
500,600,0.719,28,off-target
500,600,0.709,28,target
500,800,0.78,28,off-target
500,800,0.99,28,target
500,1000,0.158,28,off-target
500,1000,0.122,28,target
500,1200,0.318,28,off-target
500,1200,0.269,28,target
500,0,0.237,29,off-target
500,0,0.834,29,target
500,200,0.432,29,off-target
500,200,0.256,29,target
500,400,0.446,29,off-target
500,400,0.409,29,target
500,600,0.249,29,off-target
500,600,0.522,29,target
500,800,0.108,29,off-target
500,800,0.761,29,target
500,1000,0.532,29,off-target
500,1000,0.455,29,target
500,1200,0.858,29,off-target
500,1200,0.509,29,target
500,0,0.421,30,off-target
500,0,0.978,30,target
500,200,0.882,30,off-target
500,200,0.364,30,target
500,400,0.099,30,off-target
500,400,0.245,30,target
500,600,0.03,30,off-target
500,600,0.32,30,target
500,800,0.247,30,off-target
500,800,0.105,30,target
500,1000,0.839,30,off-target
500,1000,0.24,30,target
500,1200,0.074,30,off-target
500,1200,0.875,30,target
500,0,0.586,31,off-target
500,0,0.3,31,target
500,200,0.244,31,off-target
500,200,0.293,31,target
500,400,0.319,31,off-target
500,400,0.072,31,target
500,600,0.84,31,off-target
500,600,0.856,31,target
500,800,0.827,31,off-target
500,800,0.548,31,target
500,1000,0.11,31,off-target
500,1000,0.095,31,target
500,1200,0.322,31,off-target
500,1200,0.006,31,target
500,0,0.408,32,off-target
500,0,0.868,32,target
500,200,0.354,32,off-target
500,200,0.511,32,target
500,400,0.383,32,off-target
500,400,0.242,32,target
500,600,0.211,32,off-target
500,600,0.75,32,target
500,800,0.562,32,off-target
500,800,0.612,32,target
500,1000,0.551,32,off-target
500,1000,0.667,32,target
500,1200,0.561,32,off-target
500,1200,0.469,32,target
500,0,0.543,33,off-target
500,0,0.47,33,target
500,200,0.394,33,off-target
500,200,0.072,33,target
500,400,0.947,33,off-target
500,400,0.491,33,target
500,600,0.611,33,off-target
500,600,0.92,33,target
500,800,0.134,33,off-target
500,800,0.288,33,target
500,1000,0.829,33,off-target
500,1000,0.561,33,target
500,1200,0.936,33,off-target
500,1200,0.475,33,target
500,0,0.857,34,off-target
500,0,0.607,34,target
500,200,0.826,34,off-target
500,200,0.677,34,target
500,400,0.862,34,off-target
500,400,0.871,34,target
500,600,0.659,34,off-target
500,600,0.798,34,target
500,800,0.342,34,off-target
500,800,0.92,34,target
500,1000,0.859,34,off-target
500,1000,0.968,34,target
500,1200,0.237,34,off-target
500,1200,0.686,34,target
500,0,0.172,35,off-target
500,0,0.552,35,target
500,200,0.082,35,off-target
500,200,0.865,35,target
500,400,0.429,35,off-target
500,400,0.006,35,target
500,600,0.857,35,off-target
500,600,0.639,35,target
500,800,0.783,35,off-target
500,800,0.777,35,target
500,1000,0.917,35,off-target
500,1000,0.943,35,target
500,1200,0.098,35,off-target
500,1200,0.518,35,target
500,0,0.635,36,off-target
500,0,0.219,36,target
500,200,0.019,36,off-target
500,200,0.178,36,target
500,400,0.702,36,off-target
500,400,0.969,36,target
500,600,0.293,36,off-target
500,600,0.182,36,target
500,800,0.615,36,off-target
500,800,0.31,36,target
500,1000,0.707,36,off-target
500,1000,0.789,36,target
500,1200,0.886,36,off-target
500,1200,0.64,36,target
500,0,0.412,37,off-target
500,0,0.966,37,target
500,200,0.876,37,off-target
500,200,0.713,37,target
500,400,0.151,37,off-target
500,400,0.085,37,target
500,600,0.479,37,off-target
500,600,0.002,37,target
500,800,0.356,37,off-target
500,800,0.136,37,target
500,1000,0.393,37,off-target
500,1000,0.088,37,target
500,1200,0.437,37,off-target
500,1200,0.512,37,target
500,0,0.371,38,off-target
500,0,0.676,38,target
500,200,0.987,38,off-target
500,200,0.306,38,target
500,400,0.669,38,off-target
500,400,0.62,38,target
500,600,0.935,38,off-target
500,600,0.322,38,target
500,800,0.841,38,off-target
500,800,0.2,38,target
500,1000,0.667,38,off-target
500,1000,0.296,38,target
500,1200,0.661,38,off-target
500,1200,0.377,38,target
500,0,0.217,39,off-target
500,0,0.704,39,target
500,200,0.695,39,off-target
500,200,0.34,39,target
500,400,0.693,39,off-target
500,400,0.237,39,target
500,600,0.677,39,off-target
500,600,0.905,39,target
500,800,0.758,39,off-target
500,800,0.608,39,target
500,1000,0.191,39,off-target
500,1000,0.914,39,target
500,1200,0.255,39,off-target
500,1200,0.972,39,target
500,0,0.357,40,off-target
500,0,0.553,40,target
500,200,0.127,40,off-target
500,200,0.751,40,target
500,400,0.018,40,off-target
500,400,0.229,40,target
500,600,0.308,40,off-target
500,600,0.413,40,target
500,800,0.195,40,off-target
500,800,0.389,40,target
500,1000,0.425,40,off-target
500,1000,0.617,40,target
500,1200,0.735,40,off-target
500,1200,0.979,40,target
500,0,0.577,41,off-target
500,0,0.45,41,target
500,200,0.123,41,off-target
500,200,0.144,41,target
500,400,0.514,41,off-target
500,400,0.97,41,target
500,600,0.722,41,off-target
500,600,0.127,41,target
500,800,0.324,41,off-target
500,800,0.407,41,target
500,1000,0.672,41,off-target
500,1000,0.616,41,target
500,1200,0.347,41,off-target
500,1200,0.712,41,target
500,0,0.132,42,off-target
500,0,0.567,42,target
500,200,0.332,42,off-target
500,200,0.69,42,target
500,400,0.285,42,off-target
500,400,0.598,42,target
500,600,0.063,42,off-target
500,600,0.794,42,target
500,800,0.188,42,off-target
500,800,0.341,42,target
500,1000,0.352,42,off-target
500,1000,0.034,42,target
500,1200,0.919,42,off-target
500,1200,0.034,42,target
500,0,0.551,43,off-target
500,0,0.86,43,target
500,200,0.027,43,off-target
500,200,0.646,43,target
500,400,0.382,43,off-target
500,400,0.796,43,target
500,600,0.011,43,off-target
500,600,0.586,43,target
500,800,0.05,43,off-target
500,800,0.806,43,target
500,1000,0.921,43,off-target
500,1000,0.67,43,target
500,1200,0.012,43,off-target
500,1200,0.98,43,target
500,0,0.781,44,off-target
500,0,0.613,44,target
500,200,0.598,44,off-target
500,200,0.759,44,target
500,400,0.327,44,off-target
500,400,0.547,44,target
500,600,0.493,44,off-target
500,600,0.519,44,target
500,800,0.332,44,off-target
500,800,0.591,44,target
500,1000,0.877,44,off-target
500,1000,0.569,44,target
500,1200,0.425,44,off-target
500,1200,0.933,44,target
500,0,0.289,45,off-target
500,0,0.59,45,target
500,200,0.449,45,off-target
500,200,0.643,45,target
500,400,0.992,45,off-target
500,400,0.778,45,target
500,600,0.496,45,off-target
500,600,0.088,45,target
500,800,0.579,45,off-target
500,800,0.489,45,target
500,1000,0.001,45,off-target
500,1000,0.092,45,target
500,1200,0.42,45,off-target
500,1200,0.814,45,target
500,0,0.162,46,off-target
500,0,0.581,46,target
500,200,0.026,46,off-target
500,200,0.123,46,target
500,400,0.028,46,off-target
500,400,0.748,46,target
500,600,0.002,46,off-target
500,600,0.298,46,target
500,800,0.842,46,off-target
500,800,0.835,46,target
500,1000,0.772,46,off-target
500,1000,0.706,46,target
500,1200,0.438,46,off-target
500,1200,0.243,46,target
500,0,0.134,47,off-target
500,0,0.814,47,target
500,200,0.758,47,off-target
500,200,0.745,47,target
500,400,0.967,47,off-target
500,400,0.826,47,target
500,600,0.856,47,off-target
500,600,0.021,47,target
500,800,0.139,47,off-target
500,800,0.265,47,target
500,1000,0.925,47,off-target
500,1000,0.922,47,target
500,1200,0.482,47,off-target
500,1200,0.423,47,target
500,0,0.954,48,off-target
500,0,0.905,48,target
500,200,0.95,48,off-target
500,200,0.147,48,target
500,400,0.319,48,off-target
500,400,0.453,48,target
500,600,0.456,48,off-target
500,600,0.156,48,target
500,800,0.861,48,off-target
500,800,0.228,48,target
500,1000,0.917,48,off-target
500,1000,0.061,48,target
500,1200,0.191,48,off-target
500,1200,0.88,48,target
500,0,0.306,49,off-target
500,0,0.189,49,target
500,200,0.028,49,off-target
500,200,0.051,49,target
500,400,0.381,49,off-target
500,400,0.084,49,target
500,600,0.091,49,off-target
500,600,0.817,49,target
500,800,0.353,49,off-target
500,800,0.345,49,target
500,1000,0.29,49,off-target
500,1000,0.367,49,target
500,1200,0.397,49,off-target
500,1200,0.996,49,target
500,0,0.838,50,off-target
500,0,0.675,50,target
500,200,0.132,50,off-target
500,200,0.436,50,target
500,400,0.196,50,off-target
500,400,0.843,50,target
500,600,0.884,50,off-target
500,600,0.121,50,target
500,800,0.899,50,off-target
500,800,0.394,50,target
500,1000,0.228,50,off-target
500,1000,0.739,50,target
500,1200,0.082,50,off-target
500,1200,0.975,50,target
500,0,0.557,51,off-target
500,0,0.763,51,target
500,200,0.948,51,off-target
500,200,0.374,51,target
500,400,0.954,51,off-target
500,400,0.403,51,target
500,600,0.782,51,off-target
500,600,0.26,51,target
500,800,0.917,51,off-target
500,800,0.352,51,target
500,1000,0.465,51,off-target
500,1000,0.26,51,target
500,1200,0.886,51,off-target
500,1200,0.61,51,target
500,0,0.391,52,off-target
500,0,0.17,52,target
500,200,0.226,52,off-target
500,200,0.544,52,target
500,400,0.171,52,off-target
500,400,0.113,52,target
500,600,0.036,52,off-target
500,600,0.99,52,target
500,800,0.461,52,off-target
500,800,0.622,52,target
500,1000,0.763,52,off-target
500,1000,0.088,52,target
500,1200,0.993,52,off-target
500,1200,0.096,52,target
500,0,0.769,53,off-target
500,0,0.205,53,target
500,200,0.077,53,off-target
500,200,0.173,53,target
500,400,0.708,53,off-target
500,400,0.856,53,target
500,600,0.877,53,off-target
500,600,0.372,53,target
500,800,0.246,53,off-target
500,800,0.957,53,target
500,1000,0.942,53,off-target
500,1000,0.591,53,target
500,1200,0.621,53,off-target
500,1200,0.399,53,target
500,0,0.258,54,off-target
500,0,0.755,54,target
500,200,0.488,54,off-target
500,200,0.093,54,target
500,400,0.087,54,off-target
500,400,0.172,54,target
500,600,0.289,54,off-target
500,600,0.14,54,target
500,800,0.407,54,off-target
500,800,0.322,54,target
500,1000,0.823,54,off-target
500,1000,0.972,54,target
500,1200,0.609,54,off-target
500,1200,0.181,54,target
500,0,0.812,55,off-target
500,0,0.414,55,target
500,200,0.636,55,off-target
500,200,0.264,55,target
500,400,0.799,55,off-target
500,400,0.151,55,target
500,600,0.78,55,off-target
500,600,0.323,55,target
500,800,0.816,55,off-target
500,800,0.292,55,target
500,1000,0.382,55,off-target
500,1000,0.093,55,target
500,1200,0.771,55,off-target
500,1200,0.099,55,target
500,0,0.371,56,off-target
500,0,0.581,56,target
500,200,0.814,56,off-target
500,200,0.155,56,target
500,400,0.551,56,off-target
500,400,0.814,56,target
500,600,0.087,56,off-target
500,600,0.883,56,target
500,800,0.537,56,off-target
500,800,0.957,56,target
500,1000,0.231,56,off-target
500,1000,0.777,56,target
500,1200,0.279,56,off-target
500,1200,0.727,56,target
500,0,0.268,57,off-target
500,0,0.479,57,target
500,200,0.835,57,off-target
500,200,0.04,57,target
500,400,0.051,57,off-target
500,400,0.052,57,target
500,600,0.525,57,off-target
500,600,0.14,57,target
500,800,0.024,57,off-target
500,800,0.397,57,target
500,1000,0.255,57,off-target
500,1000,0.255,57,target
500,1200,0.944,57,off-target
500,1200,0.816,57,target
500,0,0.724,58,off-target
500,0,0.88,58,target
500,200,0.873,58,off-target
500,200,0.019,58,target
500,400,0.778,58,off-target
500,400,0.777,58,target
500,600,0.744,58,off-target
500,600,0.832,58,target
500,800,0.575,58,off-target
500,800,0.786,58,target
500,1000,0.394,58,off-target
500,1000,0.183,58,target
500,1200,0.559,58,off-target
500,1200,0.786,58,target
500,0,0.829,59,off-target
500,0,0.216,59,target
500,200,0.497,59,off-target
500,200,0.675,59,target
500,400,0.403,59,off-target
500,400,0.936,59,target
500,600,0.85,59,off-target
500,600,0.016,59,target
500,800,0.523,59,off-target
500,800,0.116,59,target
500,1000,0.775,59,off-target
500,1000,0.047,59,target
500,1200,0.274,59,off-target
500,1200,0.974,59,target
500,0,0.475,60,off-target
500,0,0.54,60,target
500,200,0.105,60,off-target
500,200,0.344,60,target
500,400,0.265,60,off-target
500,400,0.419,60,target
500,600,0.816,60,off-target
500,600,0.082,60,target
500,800,0.087,60,off-target
500,800,0.792,60,target
500,1000,0.976,60,off-target
500,1000,0.821,60,target
500,1200,0.609,60,off-target
500,1200,0.228,60,target
500,0,0.709,61,off-target
500,0,0.454,61,target
500,200,0.893,61,off-target
500,200,0.399,61,target
500,400,0.317,61,off-target
500,400,0.256,61,target
500,600,0.377,61,off-target
500,600,0.709,61,target
500,800,0.17,61,off-target
500,800,0.391,61,target
500,1000,0.295,61,off-target
500,1000,0.807,61,target
500,1200,0.469,61,off-target
500,1200,0.498,61,target
500,0,0.134,62,off-target
500,0,0.093,62,target
500,200,0.372,62,off-target
500,200,0.472,62,target
500,400,0.252,62,off-target
500,400,0.881,62,target
500,600,0.297,62,off-target
500,600,0.949,62,target
500,800,0.906,62,off-target
500,800,0.516,62,target
500,1000,0.026,62,off-target
500,1000,0.337,62,target
500,1200,0.408,62,off-target
500,1200,0.693,62,target
500,0,0.538,63,off-target
500,0,0.41,63,target
500,200,0.886,63,off-target
500,200,0.513,63,target
500,400,0.913,63,off-target
500,400,0.933,63,target
500,600,0.885,63,off-target
500,600,0.983,63,target
500,800,0.941,63,off-target
500,800,0.919,63,target
500,1000,0.598,63,off-target
500,1000,0.963,63,target
500,1200,0.39,63,off-target
500,1200,0.422,63,target
500,0,0.601,64,off-target
500,0,0.191,64,target
500,200,0.499,64,off-target
500,200,0.827,64,target
500,400,0.935,64,off-target
500,400,0.052,64,target
500,600,0.591,64,off-target
500,600,0.028,64,target
500,800,0.89,64,off-target
500,800,0.469,64,target
500,1000,0.023,64,off-target
500,1000,0.168,64,target
500,1200,0.617,64,off-target
500,1200,0.905,64,target
500,0,0.604,65,off-target
500,0,0.518,65,target
500,200,0.616,65,off-target
500,200,0.038,65,target
500,400,0.091,65,off-target
500,400,0.928,65,target
500,600,0.861,65,off-target
500,600,0.941,65,target
500,800,0.491,65,off-target
500,800,0.249,65,target
500,1000,0.188,65,off-target
500,1000,0.254,65,target
500,1200,0.59,65,off-target
500,1200,0.499,65,target
500,0,0.772,66,off-target
500,0,0.863,66,target
500,200,0.108,66,off-target
500,200,0.782,66,target
500,400,0.682,66,off-target
500,400,0.513,66,target
500,600,0.125,66,off-target
500,600,0.99,66,target
500,800,0.516,66,off-target
500,800,0.846,66,target
500,1000,0.249,66,off-target
500,1000,0.218,66,target
500,1200,0.806,66,off-target
500,1200,0.016,66,target
500,0,0.338,67,off-target
500,0,0.009,67,target
500,200,0.759,67,off-target
500,200,0.501,67,target
500,400,0.352,67,off-target
500,400,0.096,67,target
500,600,0.011,67,off-target
500,600,0.23,67,target
500,800,0.758,67,off-target
500,800,0.498,67,target
500,1000,0.185,67,off-target
500,1000,0.069,67,target
500,1200,0.746,67,off-target
500,1200,0.244,67,target
500,0,0.223,68,off-target
500,0,0.329,68,target
500,200,0.418,68,off-target
500,200,0.873,68,target
500,400,0.332,68,off-target
500,400,0.009,68,target
500,600,0.697,68,off-target
500,600,0.452,68,target
500,800,0.879,68,off-target
500,800,0.148,68,target
500,1000,0.622,68,off-target
500,1000,0.234,68,target
500,1200,0.045,68,off-target
500,1200,0.795,68,target
500,0,0.741,69,off-target
500,0,0.917,69,target
500,200,0.499,69,off-target
500,200,0.785,69,target
500,400,0.16,69,off-target
500,400,0.748,69,target
500,600,0.133,69,off-target
500,600,0.593,69,target
500,800,0.851,69,off-target
500,800,0.774,69,target
500,1000,0.798,69,off-target
500,1000,0.554,69,target
500,1200,0.121,69,off-target
500,1200,0.557,69,target
500,0,0.764,70,off-target
500,0,0.179,70,target
500,200,0.904,70,off-target
500,200,0.788,70,target
500,400,0.701,70,off-target
500,400,0.786,70,target
500,600,0.482,70,off-target
500,600,0.207,70,target
500,800,0.853,70,off-target
500,800,0.718,70,target
500,1000,0.124,70,off-target
500,1000,0.978,70,target
500,1200,0.532,70,off-target
500,1200,0.586,70,target
500,0,0.41,71,off-target
500,0,0.879,71,target
500,200,0.501,71,off-target
500,200,0.492,71,target
500,400,0.438,71,off-target
500,400,0.507,71,target
500,600,0.731,71,off-target
500,600,0.863,71,target
500,800,0.244,71,off-target
500,800,0.967,71,target
500,1000,0.291,71,off-target
500,1000,0.809,71,target
500,1200,0.314,71,off-target
500,1200,0.413,71,target
500,0,0.545,72,off-target
500,0,0.006,72,target
500,200,0.998,72,off-target
500,200,0.7,72,target
500,400,0.431,72,off-target
500,400,0.95,72,target
500,600,0.969,72,off-target
500,600,0.185,72,target
500,800,0.693,72,off-target
500,800,0.255,72,target
500,1000,0.566,72,off-target
500,1000,0.904,72,target
500,1200,0.362,72,off-target
500,1200,0.014,72,target
500,0,0.271,73,off-target
500,0,0.856,73,target
500,200,0.305,73,off-target
500,200,0.756,73,target
500,400,0.474,73,off-target
500,400,0.375,73,target
500,600,0.361,73,off-target
500,600,0.206,73,target
500,800,0.665,73,off-target
500,800,0.641,73,target
500,1000,0.4,73,off-target
500,1000,0.152,73,target
500,1200,0.713,73,off-target
500,1200,0.83,73,target
500,0,0.214,74,off-target
500,0,0.311,74,target
500,200,0.068,74,off-target
500,200,0.165,74,target
500,400,0.481,74,off-target
500,400,0.052,74,target
500,600,0.632,74,off-target
500,600,0.019,74,target
500,800,0.909,74,off-target
500,800,0.23,74,target
500,1000,0.708,74,off-target
500,1000,0.089,74,target
500,1200,0.979,74,off-target
500,1200,0.655,74,target
