n,t,p_value,seed,type
500,0,0.526,55,off-target
500,0,0.834,55,target
500,5,0.001,55,off-target
500,5,0.75,55,target
500,10,0.001,55,off-target
500,10,0.837,55,target
500,15,0.001,55,off-target
500,15,0.805,55,target
500,20,0.0,55,off-target
500,20,0.504,55,target
500,0,0.72,56,off-target
500,0,0.248,56,target
500,5,0.0,56,off-target
500,5,0.418,56,target
500,10,0.0,56,off-target
500,10,0.296,56,target
500,15,0.0,56,off-target
500,15,0.223,56,target
500,20,0.0,56,off-target
500,20,0.331,56,target
500,0,0.508,57,off-target
500,0,0.968,57,target
500,5,0.003,57,off-target
500,5,0.617,57,target
500,10,0.0,57,off-target
500,10,0.834,57,target
500,15,0.0,57,off-target
500,15,0.954,57,target
500,20,0.0,57,off-target
500,20,0.669,57,target
500,0,0.601,58,off-target
500,0,0.118,58,target
500,5,0.009,58,off-target
500,5,0.1,58,target
500,10,0.0,58,off-target
500,10,0.024,58,target
500,15,0.001,58,off-target
500,15,0.015,58,target
500,20,0.0,58,off-target
500,20,0.058,58,target
500,0,0.487,59,off-target
500,0,0.103,59,target
500,5,0.0,59,off-target
500,5,0.046,59,target
500,10,0.0,59,off-target
500,10,0.132,59,target
500,15,0.0,59,off-target
500,15,0.251,59,target
500,20,0.001,59,off-target
500,20,0.162,59,target
500,0,0.495,60,off-target
500,0,0.265,60,target
500,5,0.0,60,off-target
500,5,0.216,60,target
500,10,0.0,60,off-target
500,10,0.201,60,target
500,15,0.0,60,off-target
500,15,0.404,60,target
500,20,0.0,60,off-target
500,20,0.425,60,target
500,0,0.588,61,off-target
500,0,0.467,61,target
500,5,0.0,61,off-target
500,5,0.757,61,target
500,10,0.0,61,off-target
500,10,0.651,61,target
500,15,0.0,61,off-target
500,15,0.688,61,target
500,20,0.0,61,off-target
500,20,0.793,61,target
500,0,0.995,62,off-target
500,0,0.753,62,target
500,5,0.0,62,off-target
500,5,0.897,62,target
500,10,0.0,62,off-target
500,10,0.444,62,target
500,15,0.0,62,off-target
500,15,0.498,62,target
500,20,0.0,62,off-target
500,20,0.578,62,target
500,0,0.273,63,off-target
500,0,0.627,63,target
500,5,0.0,63,off-target
500,5,0.381,63,target
500,10,0.0,63,off-target
500,10,0.429,63,target
500,15,0.0,63,off-target
500,15,0.614,63,target
500,20,0.0,63,off-target
500,20,0.484,63,target
500,0,0.505,64,off-target
500,0,0.355,64,target
500,5,0.118,64,off-target
500,5,0.07,64,target
500,10,0.044,64,off-target
500,10,0.006,64,target
500,15,0.0,64,off-target
500,15,0.557,64,target
500,20,0.0,64,off-target
500,20,0.12,64,target
500,0,0.38,65,off-target
500,0,0.648,65,target
500,5,0.0,65,off-target
500,5,0.203,65,target
500,10,0.0,65,off-target
500,10,0.593,65,target
500,15,0.0,65,off-target
500,15,0.534,65,target
500,20,0.0,65,off-target
500,20,0.801,65,target
500,0,0.152,66,off-target
500,0,0.833,66,target
500,5,0.0,66,off-target
500,5,0.56,66,target
500,10,0.0,66,off-target
500,10,0.32,66,target
500,15,0.0,66,off-target
500,15,0.513,66,target
500,20,0.0,66,off-target
500,20,0.507,66,target
500,0,0.069,67,off-target
500,0,0.581,67,target
500,5,0.0,67,off-target
500,5,0.196,67,target
500,10,0.0,67,off-target
500,10,0.533,67,target
500,15,0.0,67,off-target
500,15,0.469,67,target
500,20,0.0,67,off-target
500,20,0.761,67,target
500,0,0.3,68,off-target
500,0,0.839,68,target
500,5,0.0,68,off-target
500,5,0.842,68,target
500,10,0.0,68,off-target
500,10,0.767,68,target
500,15,0.0,68,off-target
500,15,0.819,68,target
500,20,0.0,68,off-target
500,20,0.182,68,target
500,0,0.263,69,off-target
500,0,0.475,69,target
500,5,0.0,69,off-target
500,5,0.696,69,target
500,10,0.0,69,off-target
500,10,0.421,69,target
500,15,0.0,69,off-target
500,15,0.169,69,target
500,20,0.0,69,off-target
500,20,0.148,69,target
500,0,0.128,70,off-target
500,0,0.417,70,target
500,5,0.0,70,off-target
500,5,0.295,70,target
500,10,0.0,70,off-target
500,10,0.56,70,target
500,15,0.0,70,off-target
500,15,0.439,70,target
500,20,0.0,70,off-target
500,20,0.627,70,target
500,0,0.261,71,off-target
500,0,0.726,71,target
500,5,0.0,71,off-target
500,5,0.524,71,target
500,10,0.0,71,off-target
500,10,0.243,71,target
500,15,0.0,71,off-target
500,15,0.401,71,target
500,20,0.0,71,off-target
500,20,0.448,71,target
500,0,0.11,72,off-target
500,0,0.083,72,target
500,5,0.0,72,off-target
500,5,0.054,72,target
500,10,0.0,72,off-target
500,10,0.189,72,target
500,15,0.0,72,off-target
500,15,0.225,72,target
500,20,0.0,72,off-target
500,20,0.154,72,target
500,0,0.208,73,off-target
500,0,0.238,73,target
500,5,0.0,73,off-target
500,5,0.179,73,target
500,10,0.0,73,off-target
500,10,0.239,73,target
500,15,0.0,73,off-target
500,15,0.515,73,target
500,20,0.0,73,off-target
500,20,0.426,73,target
500,0,0.179,74,off-target
500,0,0.807,74,target
500,5,0.0,74,off-target
500,5,0.866,74,target
500,10,0.0,74,off-target
500,10,0.771,74,target
500,15,0.0,74,off-target
500,15,0.811,74,target
500,20,0.0,74,off-target
500,20,0.739,74,target
500,0,0.659,75,off-target
500,0,0.077,75,target
500,5,0.0,75,off-target
500,5,0.894,75,target
500,10,0.0,75,off-target
500,10,0.596,75,target
500,15,0.0,75,off-target
500,15,0.838,75,target
500,20,0.0,75,off-target
500,20,0.695,75,target
500,0,0.363,76,off-target
500,0,0.355,76,target
500,5,0.0,76,off-target
500,5,0.351,76,target
500,10,0.0,76,off-target
500,10,0.126,76,target
500,15,0.0,76,off-target
500,15,0.031,76,target
500,20,0.0,76,off-target
500,20,0.09,76,target
500,0,0.6,77,off-target
500,0,0.209,77,target
500,5,0.0,77,off-target
500,5,0.38,77,target
500,10,0.0,77,off-target
500,10,0.201,77,target
500,15,0.002,77,off-target
500,15,0.386,77,target
500,20,0.0,77,off-target
500,20,0.082,77,target
500,0,0.504,78,off-target
500,0,0.97,78,target
500,5,0.001,78,off-target
500,5,0.907,78,target
500,10,0.0,78,off-target
500,10,0.788,78,target
500,15,0.0,78,off-target
500,15,0.899,78,target
500,20,0.0,78,off-target
500,20,0.913,78,target
500,0,0.292,79,off-target
500,0,0.948,79,target
500,5,0.001,79,off-target
500,5,0.701,79,target
500,10,0.0,79,off-target
500,10,0.945,79,target
500,15,0.0,79,off-target
500,15,0.994,79,target
500,20,0.0,79,off-target
500,20,0.965,79,target
500,0,0.438,80,off-target
500,0,0.077,80,target
500,5,0.0,80,off-target
500,5,0.046,80,target
500,10,0.0,80,off-target
500,10,0.017,80,target
500,15,0.0,80,off-target
500,15,0.036,80,target
500,20,0.0,80,off-target
500,20,0.006,80,target
500,0,0.24,81,off-target
500,0,0.918,81,target
500,5,0.015,81,off-target
500,5,0.974,81,target
500,10,0.002,81,off-target
500,10,0.606,81,target
500,15,0.001,81,off-target
500,15,0.971,81,target
500,20,0.001,81,off-target
500,20,0.981,81,target
500,0,0.859,82,off-target
500,0,0.712,82,target
500,5,0.0,82,off-target
500,5,0.64,82,target
500,10,0.0,82,off-target
500,10,0.646,82,target
500,15,0.105,82,off-target
500,15,0.809,82,target
500,20,0.059,82,off-target
500,20,0.858,82,target
500,0,0.683,83,off-target
500,0,0.407,83,target
500,5,0.0,83,off-target
500,5,0.076,83,target
500,10,0.0,83,off-target
500,10,0.828,83,target
500,15,0.0,83,off-target
500,15,0.464,83,target
500,20,0.0,83,off-target
500,20,0.907,83,target
500,0,0.302,84,off-target
500,0,0.547,84,target
500,5,0.0,84,off-target
500,5,0.277,84,target
500,10,0.0,84,off-target
500,10,0.399,84,target
500,15,0.0,84,off-target
500,15,0.543,84,target
500,20,0.0,84,off-target
500,20,0.51,84,target
500,0,0.325,85,off-target
500,0,0.844,85,target
500,5,0.0,85,off-target
500,5,0.864,85,target
500,10,0.0,85,off-target
500,10,0.754,85,target
500,15,0.0,85,off-target
500,15,0.887,85,target
500,20,0.0,85,off-target
500,20,0.88,85,target
500,0,0.184,86,off-target
500,0,0.836,86,target
500,5,0.0,86,off-target
500,5,0.141,86,target
500,10,0.0,86,off-target
500,10,0.52,86,target
500,15,0.0,86,off-target
500,15,0.076,86,target
500,20,0.0,86,off-target
500,20,0.335,86,target
500,0,0.842,87,off-target
500,0,0.111,87,target
500,5,0.0,87,off-target
500,5,0.214,87,target
500,10,0.003,87,off-target
500,10,0.133,87,target
500,15,0.0,87,off-target
500,15,0.185,87,target
500,20,0.0,87,off-target
500,20,0.248,87,target
500,0,0.053,88,off-target
500,0,0.299,88,target
500,5,0.0,88,off-target
500,5,0.317,88,target
500,10,0.0,88,off-target
500,10,0.285,88,target
500,15,0.0,88,off-target
500,15,0.391,88,target
500,20,0.0,88,off-target
500,20,0.401,88,target
500,0,0.954,89,off-target
500,0,0.054,89,target
500,5,0.0,89,off-target
500,5,0.665,89,target
500,10,0.0,89,off-target
500,10,0.01,89,target
500,15,0.003,89,off-target
500,15,0.348,89,target
500,20,0.0,89,off-target
500,20,0.095,89,target
500,0,0.145,90,off-target
500,0,0.612,90,target
500,5,0.0,90,off-target
500,5,0.693,90,target
500,10,0.0,90,off-target
500,10,0.502,90,target
500,15,0.0,90,off-target
500,15,0.632,90,target
500,20,0.0,90,off-target
500,20,0.257,90,target
500,0,0.093,91,off-target
500,0,0.382,91,target
500,5,0.0,91,off-target
500,5,0.476,91,target
500,10,0.0,91,off-target
500,10,0.279,91,target
500,15,0.0,91,off-target
500,15,0.417,91,target
500,20,0.0,91,off-target
500,20,0.609,91,target
500,0,0.937,92,off-target
500,0,0.723,92,target
500,5,0.0,92,off-target
500,5,0.624,92,target
500,10,0.0,92,off-target
500,10,0.645,92,target
500,15,0.02,92,off-target
500,15,0.699,92,target
500,20,0.0,92,off-target
500,20,0.508,92,target
500,0,0.914,93,off-target
500,0,0.558,93,target
500,5,0.0,93,off-target
500,5,0.166,93,target
500,10,0.0,93,off-target
500,10,0.517,93,target
500,15,0.0,93,off-target
500,15,0.55,93,target
500,20,0.001,93,off-target
500,20,0.512,93,target
500,0,0.144,94,off-target
500,0,0.86,94,target
500,5,0.0,94,off-target
500,5,0.799,94,target
500,10,0.0,94,off-target
500,10,0.936,94,target
500,15,0.0,94,off-target
500,15,0.981,94,target
500,20,0.0,94,off-target
500,20,0.972,94,target
500,0,0.816,95,off-target
500,0,0.587,95,target
500,5,0.002,95,off-target
500,5,0.793,95,target
500,10,0.031,95,off-target
500,10,0.51,95,target
500,15,0.001,95,off-target
500,15,0.48,95,target
500,20,0.0,95,off-target
500,20,0.659,95,target
500,0,0.76,96,off-target
500,0,0.637,96,target
500,5,0.001,96,off-target
500,5,0.75,96,target
500,10,0.0,96,off-target
500,10,0.497,96,target
500,15,0.002,96,off-target
500,15,0.663,96,target
500,20,0.0,96,off-target
500,20,0.441,96,target
500,0,0.885,97,off-target
500,0,0.397,97,target
500,5,0.0,97,off-target
500,5,0.155,97,target
500,10,0.0,97,off-target
500,10,0.185,97,target
500,15,0.001,97,off-target
500,15,0.441,97,target
500,20,0.0,97,off-target
500,20,0.056,97,target
500,0,0.627,98,off-target
500,0,0.794,98,target
500,5,0.0,98,off-target
500,5,0.865,98,target
500,10,0.052,98,off-target
500,10,0.928,98,target
500,15,0.0,98,off-target
500,15,0.517,98,target
500,20,0.0,98,off-target
500,20,0.777,98,target
500,0,0.387,99,off-target
500,0,0.442,99,target
500,5,0.0,99,off-target
500,5,0.386,99,target
500,10,0.0,99,off-target
500,10,0.568,99,target
500,15,0.0,99,off-target
500,15,0.578,99,target
500,20,0.0,99,off-target
500,20,0.554,99,target
500,0,0.712,100,off-target
500,0,0.208,100,target
500,5,0.0,100,off-target
500,5,0.623,100,target
500,10,0.0,100,off-target
500,10,0.728,100,target
500,15,0.0,100,off-target
500,15,0.528,100,target
500,20,0.001,100,off-target
500,20,0.408,100,target
500,0,0.463,101,off-target
500,0,0.109,101,target
500,5,0.0,101,off-target
500,5,0.199,101,target
500,10,0.0,101,off-target
500,10,0.15,101,target
