n,p_value,var_est,seed,type
500,0.329,0.0,66,target noiseless
500,0.146,16.0,67,off-target
500,0.223,0.0,67,off-target noiseless
500,0.783,4.0,67,target
500,0.188,0.0,67,target noiseless
500,0.037,64.0,68,off-target
500,0.453,0.0,68,off-target noiseless
500,0.253,256.0,68,target
500,0.514,0.0,68,target noiseless
500,0.036,16.0,69,off-target
500,0.846,0.0,69,off-target noiseless
500,0.975,0.25,69,target
500,0.075,0.0,69,target noiseless
500,0.008,16.0,70,off-target
500,0.924,0.0,70,off-target noiseless
500,0.111,4.0,70,target
500,0.836,0.0,70,target noiseless
500,0.387,16.0,71,off-target
500,0.641,0.0,71,off-target noiseless
500,0.589,4.0,71,target
500,0.493,0.0,71,target noiseless
500,0.006,16.0,72,off-target
500,0.031,0.0,72,off-target noiseless
500,0.683,256.0,72,target
500,0.037,0.0,72,target noiseless
500,0.497,1.0,73,off-target
500,0.024,0.0,73,off-target noiseless
500,0.073,16.0,73,target
500,0.433,0.0,73,target noiseless
500,0.006,16.0,74,off-target
500,0.105,0.0,74,off-target noiseless
500,0.69,64.0,74,target
500,0.274,0.0,74,target noiseless
500,0.128,16.0,75,off-target
500,0.992,0.0,75,off-target noiseless
500,0.274,1.0,75,target
500,0.49,0.0,75,target noiseless
500,0.057,16.0,76,off-target
500,0.396,0.0,76,off-target noiseless
500,0.619,16.0,76,target
500,0.7,0.0,76,target noiseless
500,0.567,64.0,77,off-target
500,0.518,0.0,77,off-target noiseless
500,0.39,0.25,77,target
500,0.677,0.0,77,target noiseless
500,0.02,16.0,78,off-target
500,0.346,0.0,78,off-target noiseless
500,0.25,256.0,78,target
500,0.79,0.0,78,target noiseless
500,0.624,0.25,79,off-target
500,0.326,0.0,79,off-target noiseless
500,0.331,1.0,79,target
500,0.589,0.0,79,target noiseless
500,0.8,0.25,80,off-target
500,0.759,0.0,80,off-target noiseless
500,0.486,4096.0,80,target
500,0.351,0.0,80,target noiseless
500,0.262,16.0,81,off-target
500,0.189,0.0,81,off-target noiseless
500,0.204,64.0,81,target
500,0.633,0.0,81,target noiseless
500,0.109,16.0,82,off-target
500,0.148,0.0,82,off-target noiseless
500,0.222,4096.0,82,target
500,0.41,0.0,82,target noiseless
500,0.218,4.0,83,off-target
500,0.243,0.0,83,off-target noiseless
500,0.539,16.0,83,target
500,0.916,0.0,83,target noiseless
500,0.05,16.0,84,off-target
500,0.088,0.0,84,off-target noiseless
500,0.183,1.0,84,target
500,0.531,0.0,84,target noiseless
500,0.0,16.0,85,off-target
500,0.671,0.0,85,off-target noiseless
500,0.374,4.0,85,target
500,0.402,0.0,85,target noiseless
500,0.326,16.0,86,off-target
500,0.818,0.0,86,off-target noiseless
500,0.577,0.0625,86,target
500,0.394,0.0,86,target noiseless
500,0.002,16.0,87,off-target
500,0.846,0.0,87,off-target noiseless
500,0.722,64.0,87,target
500,0.887,0.0,87,target noiseless
500,0.492,64.0,88,off-target
500,0.013,0.0,88,off-target noiseless
500,0.763,1.0,88,target
500,0.38,0.0,88,target noiseless
500,0.005,16.0,89,off-target
500,0.234,0.0,89,off-target noiseless
500,0.307,4096.0,89,target
500,0.879,0.0,89,target noiseless
500,0.379,1.0,90,off-target
500,0.489,0.0,90,off-target noiseless
500,0.261,64.0,90,target
500,0.364,0.0,90,target noiseless
500,0.547,256.0,91,off-target
500,0.869,0.0,91,off-target noiseless
500,0.355,16.0,91,target
500,0.33,0.0,91,target noiseless
500,0.259,256.0,92,off-target
500,0.68,0.0,92,off-target noiseless
500,0.276,1.0,92,target
500,0.684,0.0,92,target noiseless
500,0.035,16.0,93,off-target
500,0.12,0.0,93,off-target noiseless
500,0.755,64.0,93,target
500,0.593,0.0,93,target noiseless
500,0.516,0.25,94,off-target
500,0.638,0.0,94,off-target noiseless
500,0.483,16.0,94,target
500,0.077,0.0,94,target noiseless
500,0.002,16.0,95,off-target
500,0.313,0.0,95,off-target noiseless
500,0.144,16.0,95,target
500,0.032,0.0,95,target noiseless
500,0.268,4.0,96,off-target
500,0.032,0.0,96,off-target noiseless
500,0.555,1024.0,96,target
500,0.56,0.0,96,target noiseless
500,0.0,16.0,97,off-target
500,0.213,0.0,97,off-target noiseless
500,0.446,64.0,97,target
500,0.284,0.0,97,target noiseless
500,0.364,4.0,98,off-target
500,0.671,0.0,98,off-target noiseless
500,0.815,256.0,98,target
500,0.151,0.0,98,target noiseless
500,0.467,64.0,99,off-target
500,0.801,0.0,99,off-target noiseless
500,0.304,256.0,99,target
500,0.095,0.0,99,target noiseless
500,0.621,1.0,100,off-target
500,0.858,0.0,100,off-target noiseless
500,0.386,4.0,100,target
500,0.472,0.0,100,target noiseless
500,0.033,16.0,101,off-target
500,0.453,0.0,101,off-target noiseless
500,0.744,1.0,101,target
500,0.618,0.0,101,target noiseless
500,0.938,4.0,102,off-target
500,0.339,0.0,102,off-target noiseless
500,0.503,16.0,102,target
500,0.109,0.0,102,target noiseless
500,0.103,16.0,103,off-target
