n,p_value,seed,type
500,0.179,253,target
500,0.071,254,off-target
500,0.423,254,target
500,0.008,255,off-target
500,0.211,255,target
500,0.0,256,off-target
500,0.504,256,target
500,0.0,257,off-target
500,0.224,257,target
500,0.037,258,off-target
500,0.936,258,target
500,0.0,259,off-target
500,0.653,259,target
500,0.071,260,off-target
500,0.839,260,target
500,0.001,261,off-target
500,0.233,261,target
500,0.001,262,off-target
500,0.765,262,target
500,0.014,263,off-target
500,0.994,263,target
500,0.274,264,off-target
500,0.704,264,target
500,0.031,265,off-target
500,0.176,265,target
500,0.031,266,off-target
500,0.663,266,target
500,0.0,267,off-target
500,0.221,267,target
500,0.0,268,off-target
500,0.139,268,target
500,0.007,269,off-target
500,0.644,269,target
500,0.011,270,off-target
500,0.649,270,target
500,0.0,271,off-target
500,0.075,271,target
500,0.019,272,off-target
500,0.89,272,target
500,0.266,273,off-target
500,0.647,273,target
500,0.033,274,off-target
500,0.118,274,target
500,0.0,275,off-target
500,0.193,275,target
500,0.107,276,off-target
500,0.352,276,target
500,0.177,277,off-target
500,0.089,277,target
500,0.023,278,off-target
500,0.445,278,target
500,0.126,279,off-target
500,0.047,279,target
500,0.001,280,off-target
500,0.302,280,target
500,0.033,281,off-target
500,0.785,281,target
500,0.047,282,off-target
500,0.731,282,target
500,0.002,283,off-target
500,0.972,283,target
500,0.03,284,off-target
500,0.062,284,target
500,0.166,285,off-target
500,0.083,285,target
500,0.02,286,off-target
500,0.905,286,target
500,0.001,287,off-target
500,0.249,287,target
500,0.018,288,off-target
500,0.413,288,target
500,0.0,289,off-target
500,0.052,289,target
500,0.098,290,off-target
500,0.045,290,target
500,0.007,291,off-target
500,0.731,291,target
500,0.1,292,off-target
500,0.171,292,target
500,0.033,293,off-target
500,0.818,293,target
500,0.0,294,off-target
500,0.838,294,target
500,0.078,295,off-target
500,0.234,295,target
500,0.015,296,off-target
500,0.159,296,target
500,0.029,297,off-target
500,0.774,297,target
500,0.0,298,off-target
500,0.328,298,target
500,0.043,299,off-target
500,0.203,299,target
500,0.084,300,off-target
500,0.439,300,target
500,0.002,301,off-target
500,0.494,301,target
500,0.002,302,off-target
500,0.339,302,target
500,0.445,303,off-target
500,0.85,303,target
500,0.0,304,off-target
500,0.606,304,target
500,0.0,305,off-target
500,0.623,305,target
500,0.021,306,off-target
500,0.277,306,target
500,0.001,307,off-target
500,0.204,307,target
500,0.322,308,off-target
500,0.688,308,target
500,0.019,309,off-target
500,0.964,309,target
500,0.01,310,off-target
500,0.156,310,target
500,0.019,311,off-target
500,0.829,311,target
500,0.058,312,off-target
500,0.592,312,target
500,0.04,313,off-target
500,0.686,313,target
500,0.016,314,off-target
500,0.896,314,target
500,0.003,315,off-target
500,0.084,315,target
500,0.0,316,off-target
500,0.592,316,target
500,0.058,317,off-target
500,0.564,317,target
500,0.381,318,off-target
500,0.382,318,target
500,0.011,319,off-target
500,0.762,319,target
500,0.253,320,off-target
500,0.713,320,target
500,0.004,321,off-target
500,0.585,321,target
500,0.007,322,off-target
500,0.985,322,target
500,0.009,323,off-target
500,0.633,323,target
500,0.003,324,off-target
500,0.204,324,target
500,0.002,325,off-target
500,0.048,325,target
500,0.069,326,off-target
500,0.246,326,target
500,0.005,327,off-target
500,0.602,327,target
500,0.001,328,off-target
500,0.326,328,target
500,0.096,329,off-target
500,0.618,329,target
500,0.0,330,off-target
500,0.452,330,target
500,0.005,331,off-target
500,0.039,331,target
500,0.002,332,off-target
500,0.274,332,target
500,0.002,333,off-target
500,0.895,333,target
500,0.067,334,off-target
500,0.995,334,target
500,0.034,335,off-target
500,0.532,335,target
500,0.001,336,off-target
500,0.136,336,target
500,0.06,337,off-target
500,0.209,337,target
500,0.0,338,off-target
500,0.309,338,target
500,0.002,339,off-target
500,0.54,339,target
500,0.043,340,off-target
500,0.438,340,target
500,0.006,341,off-target
500,0.133,341,target
