n,p_value,seed,type
500,0.105,493,target
500,0.001,494,off-target
500,0.127,494,target
500,0.0,495,off-target
500,0.41,495,target
500,0.0,496,off-target
500,0.916,496,target
500,0.0,497,off-target
500,0.129,497,target
500,0.0,498,off-target
500,0.724,498,target
500,0.0,499,off-target
500,0.537,499,target
500,0.0,500,off-target
500,0.189,500,target
500,0.0,501,off-target
500,0.457,501,target
500,0.0,502,off-target
500,0.183,502,target
500,0.0,503,off-target
500,0.416,503,target
500,0.0,504,off-target
500,0.386,504,target
500,0.0,505,off-target
500,0.648,505,target
500,0.0,506,off-target
500,0.581,506,target
500,0.0,507,off-target
500,0.336,507,target
500,0.0,508,off-target
500,0.498,508,target
500,0.0,509,off-target
500,0.736,509,target
500,0.0,510,off-target
500,0.814,510,target
500,0.0,511,off-target
500,0.005,511,target
500,0.0,512,off-target
500,0.273,512,target
500,0.0,513,off-target
500,0.432,513,target
500,0.0,514,off-target
500,0.625,514,target
500,0.0,515,off-target
500,0.44,515,target
500,0.0,516,off-target
500,0.99,516,target
500,0.0,517,off-target
500,0.959,517,target
500,0.0,518,off-target
500,0.449,518,target
500,0.001,519,off-target
500,0.423,519,target
500,0.0,520,off-target
500,0.246,520,target
500,0.0,521,off-target
500,0.947,521,target
500,0.0,522,off-target
500,0.012,522,target
500,0.0,523,off-target
500,0.226,523,target
500,0.0,524,off-target
500,0.67,524,target
500,0.0,525,off-target
500,0.516,525,target
500,0.0,526,off-target
500,0.867,526,target
500,0.0,527,off-target
500,0.821,527,target
500,0.0,528,off-target
500,0.207,528,target
500,0.0,529,off-target
500,0.14,529,target
500,0.0,530,off-target
500,0.093,530,target
500,0.0,531,off-target
500,0.746,531,target
500,0.0,532,off-target
500,0.885,532,target
500,0.0,533,off-target
500,0.329,533,target
500,0.0,534,off-target
500,0.513,534,target
500,0.0,535,off-target
500,0.709,535,target
500,0.0,536,off-target
500,0.72,536,target
500,0.0,537,off-target
500,0.561,537,target
500,0.0,538,off-target
500,0.605,538,target
500,0.0,539,off-target
500,0.634,539,target
500,0.0,540,off-target
500,0.287,540,target
500,0.0,541,off-target
500,0.259,541,target
500,0.0,542,off-target
500,0.139,542,target
500,0.0,543,off-target
500,0.263,543,target
500,0.0,544,off-target
500,0.92,544,target
500,0.0,545,off-target
500,0.597,545,target
500,0.0,546,off-target
500,0.31,546,target
500,0.0,547,off-target
500,0.499,547,target
500,0.0,548,off-target
500,0.631,548,target
500,0.0,549,off-target
500,0.709,549,target
500,0.0,550,off-target
500,0.84,550,target
500,0.0,551,off-target
500,0.796,551,target
500,0.0,552,off-target
500,0.14,552,target
500,0.0,553,off-target
500,0.684,553,target
500,0.0,554,off-target
500,0.2,554,target
500,0.0,555,off-target
500,0.583,555,target
500,0.0,556,off-target
500,0.786,556,target
500,0.0,557,off-target
500,0.562,557,target
500,0.0,558,off-target
500,0.669,558,target
500,0.0,559,off-target
500,0.871,559,target
500,0.0,560,off-target
500,0.918,560,target
500,0.0,561,off-target
500,0.045,561,target
500,0.0,562,off-target
500,0.859,562,target
500,0.0,563,off-target
500,0.064,563,target
500,0.0,564,off-target
500,0.81,564,target
500,0.0,565,off-target
500,0.709,565,target
500,0.0,566,off-target
500,0.359,566,target
500,0.0,567,off-target
500,0.616,567,target
500,0.0,568,off-target
500,0.463,568,target
500,0.0,569,off-target
500,0.661,569,target
500,0.0,570,off-target
500,0.777,570,target
500,0.0,571,off-target
500,0.794,571,target
500,0.0,572,off-target
500,0.927,572,target
500,0.0,573,off-target
500,0.409,573,target
500,0.0,574,off-target
500,0.419,574,target
500,0.0,575,off-target
500,0.03,575,target
500,0.0,576,off-target
500,0.446,576,target
500,0.0,577,off-target
500,0.818,577,target
500,0.0,578,off-target
500,0.46,578,target
500,0.0,579,off-target
500,0.911,579,target
500,0.0,580,off-target
500,0.899,580,target
500,0.0,581,off-target
500,0.711,581,target
500,0.0,582,off-target
500,0.542,582,target
500,0.0,583,off-target
500,0.347,583,target
500,0.0,584,off-target
500,0.531,584,target
500,0.0,585,off-target
500,0.807,585,target
500,0.0,586,off-target
500,0.168,586,target
500,0.0,587,off-target
500,0.034,587,target
