n,t,p_value,seed,type
500,0,0.206,58,off-target
500,0,0.581,58,target
500,10,0.105,58,off-target
500,10,0.24,58,target
500,25,0.001,58,off-target
500,25,0.598,58,target
500,50,0.011,58,off-target
500,50,0.109,58,target
500,0,0.465,59,off-target
500,0,0.348,59,target
500,10,0.053,59,off-target
500,10,0.065,59,target
500,25,0.038,59,off-target
500,25,0.025,59,target
500,50,0.007,59,off-target
500,50,0.349,59,target
500,0,0.753,60,off-target
500,0,0.933,60,target
500,10,0.027,60,off-target
500,10,0.453,60,target
500,25,0.009,60,off-target
500,25,0.159,60,target
500,50,0.002,60,off-target
500,50,0.043,60,target
500,0,0.214,61,off-target
500,0,0.954,61,target
500,10,0.169,61,off-target
500,10,0.349,61,target
500,25,0.039,61,off-target
500,25,0.249,61,target
500,50,0.221,61,off-target
500,50,0.054,61,target
500,0,0.664,62,off-target
500,0,0.519,62,target
500,10,0.009,62,off-target
500,10,0.461,62,target
500,25,0.089,62,off-target
500,25,0.173,62,target
500,50,0.014,62,off-target
500,50,0.294,62,target
500,0,0.974,63,off-target
500,0,0.118,63,target
500,10,0.191,63,off-target
500,10,0.702,63,target
500,25,0.047,63,off-target
500,25,0.089,63,target
500,50,0.008,63,off-target
500,50,0.061,63,target
500,0,0.484,64,off-target
500,0,0.836,64,target
500,10,0.081,64,off-target
500,10,0.391,64,target
500,25,0.013,64,off-target
500,25,0.245,64,target
500,50,0.026,64,off-target
500,50,0.176,64,target
500,0,0.951,65,off-target
500,0,0.785,65,target
500,10,0.001,65,off-target
500,10,0.235,65,target
500,25,0.1,65,off-target
500,25,0.205,65,target
500,50,0.039,65,off-target
500,50,0.092,65,target
500,0,0.042,66,off-target
500,0,0.458,66,target
500,10,0.092,66,off-target
500,10,0.61,66,target
500,25,0.004,66,off-target
500,25,0.103,66,target
500,50,0.059,66,off-target
500,50,0.067,66,target
500,0,0.054,67,off-target
500,0,0.976,67,target
500,10,0.077,67,off-target
500,10,0.059,67,target
500,25,0.036,67,off-target
500,25,0.063,67,target
500,50,0.026,67,off-target
500,50,0.105,67,target
500,0,0.347,68,off-target
500,0,0.47,68,target
500,10,0.034,68,off-target
500,10,0.14,68,target
500,25,0.007,68,off-target
500,25,0.022,68,target
500,50,0.085,68,off-target
500,50,0.001,68,target
500,0,0.097,69,off-target
500,0,0.044,69,target
500,10,0.144,69,off-target
500,10,0.033,69,target
500,25,0.212,69,off-target
500,25,0.307,69,target
500,50,0.009,69,off-target
500,50,0.174,69,target
500,0,0.64,70,off-target
500,0,0.456,70,target
500,10,0.021,70,off-target
500,10,0.319,70,target
500,25,0.161,70,off-target
500,25,0.145,70,target
500,50,0.032,70,off-target
500,50,0.224,70,target
500,0,0.619,71,off-target
500,0,0.705,71,target
500,10,0.015,71,off-target
500,10,0.299,71,target
500,25,0.082,71,off-target
500,25,0.162,71,target
500,50,0.077,71,off-target
500,50,0.014,71,target
500,0,0.752,72,off-target
500,0,0.803,72,target
500,10,0.249,72,off-target
500,10,0.163,72,target
500,25,0.029,72,off-target
500,25,0.19,72,target
500,50,0.02,72,off-target
500,50,0.422,72,target
500,0,0.998,73,off-target
500,0,0.351,73,target
500,10,0.078,73,off-target
500,10,0.474,73,target
500,25,0.231,73,off-target
500,25,0.44,73,target
500,50,0.136,73,off-target
500,50,0.234,73,target
500,0,0.762,74,off-target
500,0,0.995,74,target
500,10,0.036,74,off-target
500,10,0.002,74,target
500,25,0.186,74,off-target
500,25,0.012,74,target
500,50,0.17,74,off-target
500,50,0.412,74,target
500,0,0.64,75,off-target
500,0,0.783,75,target
500,10,0.028,75,off-target
500,10,0.259,75,target
500,25,0.041,75,off-target
500,25,0.523,75,target
500,50,0.001,75,off-target
500,50,0.062,75,target
500,0,0.834,76,off-target
500,0,0.464,76,target
500,10,0.005,76,off-target
500,10,0.107,76,target
500,25,0.239,76,off-target
500,25,0.049,76,target
500,50,0.006,76,off-target
500,50,0.009,76,target
500,0,0.686,77,off-target
500,0,0.28,77,target
500,10,0.106,77,off-target
500,10,0.121,77,target
500,25,0.01,77,off-target
500,25,0.224,77,target
500,50,0.1,77,off-target
500,50,0.119,77,target
500,0,0.474,78,off-target
500,0,0.178,78,target
500,10,0.065,78,off-target
500,10,0.009,78,target
500,25,0.102,78,off-target
500,25,0.055,78,target
500,50,0.003,78,off-target
500,50,0.167,78,target
500,0,0.817,79,off-target
500,0,0.688,79,target
500,10,0.065,79,off-target
500,10,0.002,79,target
500,25,0.111,79,off-target
500,25,0.503,79,target
500,50,0.001,79,off-target
500,50,0.134,79,target
500,0,0.76,80,off-target
500,0,0.15,80,target
500,10,0.067,80,off-target
500,10,0.509,80,target
500,25,0.025,80,off-target
500,25,0.037,80,target
500,50,0.01,80,off-target
500,50,0.48,80,target
500,0,0.246,81,off-target
500,0,0.922,81,target
500,10,0.05,81,off-target
500,10,0.337,81,target
500,25,0.062,81,off-target
500,25,0.04,81,target
500,50,0.017,81,off-target
500,50,0.032,81,target
500,0,0.272,82,off-target
500,0,0.442,82,target
500,10,0.043,82,off-target
500,10,0.331,82,target
500,25,0.03,82,off-target
500,25,0.421,82,target
500,50,0.005,82,off-target
500,50,0.469,82,target
500,0,0.779,83,off-target
500,0,0.265,83,target
500,10,0.205,83,off-target
500,10,0.493,83,target
500,25,0.018,83,off-target
500,25,0.148,83,target
500,50,0.071,83,off-target
500,50,0.014,83,target
500,0,0.714,84,off-target
500,0,0.065,84,target
500,10,0.125,84,off-target
500,10,0.343,84,target
500,25,0.027,84,off-target
500,25,0.779,84,target
500,50,0.002,84,off-target
500,50,0.626,84,target
500,0,0.391,85,off-target
500,0,0.958,85,target
500,10,0.013,85,off-target
500,10,0.194,85,target
500,25,0.221,85,off-target
500,25,0.288,85,target
500,50,0.028,85,off-target
500,50,0.401,85,target
500,0,0.574,86,off-target
500,0,0.71,86,target
500,10,0.056,86,off-target
500,10,0.464,86,target
500,25,0.011,86,off-target
500,25,0.316,86,target
500,50,0.004,86,off-target
500,50,0.15,86,target
500,0,0.451,87,off-target
500,0,0.418,87,target
500,10,0.023,87,off-target
500,10,0.197,87,target
500,25,0.082,87,off-target
500,25,0.355,87,target
500,50,0.03,87,off-target
500,50,0.302,87,target
500,0,0.855,88,off-target
500,0,0.756,88,target
500,10,0.007,88,off-target
500,10,0.252,88,target
500,25,0.127,88,off-target
500,25,0.055,88,target
500,50,0.098,88,off-target
500,50,0.3,88,target
500,0,0.446,89,off-target
500,0,0.678,89,target
500,10,0.011,89,off-target
500,10,0.021,89,target
500,25,0.012,89,off-target
500,25,0.09,89,target
500,50,0.024,89,off-target
500,50,0.301,89,target
500,0,0.582,90,off-target
500,0,0.125,90,target
500,10,0.045,90,off-target
500,10,0.635,90,target
500,25,0.007,90,off-target
500,25,0.413,90,target
500,50,0.027,90,off-target
500,50,0.522,90,target
500,0,0.455,91,off-target
500,0,0.46,91,target
500,10,0.102,91,off-target
500,10,0.087,91,target
500,25,0.122,91,off-target
500,25,0.343,91,target
500,50,0.104,91,off-target
500,50,0.002,91,target
500,0,0.401,92,off-target
500,0,0.134,92,target
500,10,0.055,92,off-target
500,10,0.067,92,target
500,25,0.039,92,off-target
500,25,0.036,92,target
500,50,0.094,92,off-target
500,50,0.07,92,target
500,0,0.321,93,off-target
500,0,0.582,93,target
500,10,0.003,93,off-target
500,10,0.373,93,target
500,25,0.063,93,off-target
500,25,0.38,93,target
500,50,0.018,93,off-target
500,50,0.156,93,target
500,0,0.433,94,off-target
500,0,0.977,94,target
500,10,0.011,94,off-target
500,10,0.355,94,target
500,25,0.031,94,off-target
500,25,0.109,94,target
500,50,0.068,94,off-target
500,50,0.383,94,target
500,0,0.068,95,off-target
500,0,0.548,95,target
500,10,0.292,95,off-target
500,10,0.494,95,target
500,25,0.03,95,off-target
500,25,0.288,95,target
500,50,0.03,95,off-target
500,50,0.222,95,target
500,0,0.546,96,off-target
500,0,0.953,96,target
500,10,0.033,96,off-target
500,10,0.087,96,target
500,25,0.018,96,off-target
500,25,0.195,96,target
500,50,0.204,96,off-target
500,50,0.27,96,target
500,0,0.01,97,off-target
500,0,0.864,97,target
500,10,0.043,97,off-target
500,10,0.307,97,target
500,25,0.056,97,off-target
500,25,0.196,97,target
500,50,0.008,97,off-target
500,50,0.203,97,target
500,0,0.904,98,off-target
500,0,0.113,98,target
500,10,0.173,98,off-target
500,10,0.12,98,target
500,25,0.0,98,off-target
500,25,0.13,98,target
500,50,0.047,98,off-target
500,50,0.021,98,target
500,0,0.506,99,off-target
500,0,0.936,99,target
500,10,0.01,99,off-target
500,10,0.579,99,target
500,25,0.0,99,off-target
500,25,0.135,99,target
500,50,0.016,99,off-target
500,50,0.007,99,target
500,0,0.49,100,off-target
500,0,0.698,100,target
500,10,0.057,100,off-target
500,10,0.005,100,target
500,25,0.06,100,off-target
500,25,0.086,100,target
