n,p_value,seed,type
500,0.0,182,off-target
500,0.912,182,target
500,0.0,183,off-target
500,0.717,183,target
500,0.0,184,off-target
500,0.834,184,target
500,0.0,185,off-target
500,0.232,185,target
500,0.0,186,off-target
500,0.666,186,target
500,0.0,187,off-target
500,0.528,187,target
500,0.0,188,off-target
500,0.276,188,target
500,0.0,189,off-target
500,0.67,189,target
500,0.0,190,off-target
500,0.039,190,target
500,0.0,191,off-target
500,0.359,191,target
500,0.0,192,off-target
500,0.719,192,target
500,0.0,193,off-target
500,0.488,193,target
500,0.0,194,off-target
500,0.46,194,target
500,0.0,195,off-target
500,0.828,195,target
500,0.0,196,off-target
500,0.787,196,target
500,0.0,197,off-target
500,0.234,197,target
500,0.0,198,off-target
500,0.722,198,target
500,0.0,199,off-target
500,0.389,199,target
500,0.0,200,off-target
500,0.042,200,target
500,0.0,201,off-target
500,0.256,201,target
500,0.0,202,off-target
500,0.722,202,target
500,0.0,203,off-target
500,0.953,203,target
500,0.0,204,off-target
500,0.716,204,target
500,0.0,205,off-target
500,0.438,205,target
500,0.0,206,off-target
500,0.728,206,target
500,0.0,207,off-target
500,0.215,207,target
500,0.0,208,off-target
500,0.042,208,target
500,0.0,209,off-target
500,0.291,209,target
500,0.0,210,off-target
500,0.553,210,target
500,0.0,211,off-target
500,0.107,211,target
500,0.0,212,off-target
500,0.151,212,target
500,0.0,213,off-target
500,0.354,213,target
500,0.0,214,off-target
500,0.439,214,target
500,0.0,215,off-target
500,0.879,215,target
500,0.0,216,off-target
500,0.221,216,target
500,0.0,217,off-target
500,0.281,217,target
500,0.0,218,off-target
500,0.111,218,target
500,0.0,219,off-target
500,0.916,219,target
500,0.0,220,off-target
500,0.446,220,target
500,0.0,221,off-target
500,0.748,221,target
500,0.0,222,off-target
500,0.611,222,target
500,0.0,223,off-target
500,0.966,223,target
500,0.0,224,off-target
500,0.549,224,target
500,0.0,225,off-target
500,0.739,225,target
500,0.0,226,off-target
500,0.78,226,target
500,0.0,227,off-target
500,0.323,227,target
500,0.0,228,off-target
500,0.688,228,target
500,0.0,229,off-target
500,0.126,229,target
500,0.0,230,off-target
500,0.988,230,target
500,0.0,231,off-target
500,0.253,231,target
500,0.0,232,off-target
500,0.312,232,target
500,0.0,233,off-target
500,0.942,233,target
500,0.0,234,off-target
500,0.311,234,target
500,0.0,235,off-target
500,0.783,235,target
500,0.0,236,off-target
500,0.89,236,target
500,0.0,237,off-target
500,0.659,237,target
500,0.0,238,off-target
500,0.485,238,target
500,0.0,239,off-target
500,0.49,239,target
500,0.0,240,off-target
500,0.796,240,target
500,0.0,241,off-target
500,0.775,241,target
500,0.0,242,off-target
500,0.498,242,target
500,0.0,243,off-target
500,0.243,243,target
500,0.0,244,off-target
500,0.816,244,target
500,0.0,245,off-target
500,0.948,245,target
500,0.0,246,off-target
500,0.365,246,target
500,0.0,247,off-target
500,0.538,247,target
500,0.0,248,off-target
500,0.062,248,target
500,0.0,249,off-target
500,0.222,249,target
500,0.0,250,off-target
500,0.234,250,target
500,0.0,251,off-target
500,0.436,251,target
500,0.0,252,off-target
500,0.821,252,target
500,0.0,253,off-target
500,0.127,253,target
500,0.0,254,off-target
500,0.31,254,target
500,0.0,255,off-target
500,0.762,255,target
500,0.0,256,off-target
500,0.121,256,target
500,0.0,257,off-target
500,0.85,257,target
500,0.0,258,off-target
500,0.169,258,target
500,0.0,259,off-target
500,0.806,259,target
500,0.0,260,off-target
500,0.019,260,target
500,0.0,261,off-target
500,0.677,261,target
500,0.0,262,off-target
500,0.275,262,target
500,0.0,263,off-target
500,0.994,263,target
500,0.0,264,off-target
500,0.163,264,target
500,0.0,265,off-target
500,0.176,265,target
500,0.0,266,off-target
500,0.214,266,target
500,0.0,267,off-target
500,0.701,267,target
500,0.0,268,off-target
500,0.135,268,target
500,0.0,269,off-target
500,0.922,269,target
500,0.0,270,off-target
500,0.262,270,target
500,0.0,271,off-target
500,0.491,271,target
500,0.0,272,off-target
500,0.416,272,target
500,0.0,273,off-target
500,0.411,273,target
500,0.0,274,off-target
500,0.947,274,target
500,0.0,275,off-target
500,0.19,275,target
500,0.0,276,off-target
500,0.566,276,target
500,0.0,277,off-target
500,0.104,277,target
500,0.0,278,off-target
500,0.373,278,target
500,0.0,279,off-target
500,0.924,279,target
500,0.0,280,off-target
500,0.696,280,target
500,0.0,281,off-target
500,0.304,281,target
500,0.0,282,off-target
500,0.629,282,target
500,0.0,283,off-target
500,0.38,283,target
500,0.0,284,off-target
500,0.874,284,target
500,0.0,285,off-target
500,0.587,285,target
500,0.0,286,off-target
500,0.634,286,target
500,0.0,287,off-target
500,0.259,287,target
500,0.0,288,off-target
500,0.546,288,target
500,0.0,289,off-target
500,0.154,289,target
500,0.0,290,off-target
500,0.522,290,target
500,0.0,291,off-target
500,0.756,291,target
500,0.0,292,off-target
500,0.56,292,target
500,0.0,293,off-target
500,0.675,293,target
500,0.0,294,off-target
500,0.288,294,target
500,0.0,295,off-target
500,0.187,295,target
500,0.0,296,off-target
500,0.72,296,target
500,0.0,297,off-target
500,0.287,297,target
500,0.0,298,off-target
500,0.25,298,target
500,0.0,299,off-target
500,0.169,299,target
500,0.0,300,off-target
500,0.385,300,target
500,0.0,301,off-target
500,0.862,301,target
500,0.0,302,off-target
500,0.668,302,target
500,0.0,303,off-target
500,0.908,303,target
500,0.0,304,off-target
500,0.023,304,target
500,0.0,305,off-target
500,0.454,305,target
500,0.0,306,off-target
500,0.783,306,target
500,0.0,307,off-target
500,0.828,307,target
500,0.0,308,off-target
500,0.909,308,target
500,0.0,309,off-target
500,0.275,309,target
500,0.0,310,off-target
500,0.083,310,target
500,0.0,311,off-target
500,0.064,311,target
500,0.0,312,off-target
500,0.682,312,target
500,0.0,313,off-target
500,0.739,313,target
500,0.0,314,off-target
500,0.525,314,target
500,0.0,315,off-target
500,0.669,315,target
500,0.0,316,off-target
500,0.177,316,target
500,0.0,317,off-target
500,0.807,317,target
500,0.0,318,off-target
500,0.119,318,target
500,0.0,319,off-target
500,0.327,319,target
500,0.0,320,off-target
500,0.692,320,target
500,0.0,321,off-target
500,0.528,321,target
500,0.0,322,off-target
500,0.917,322,target
500,0.0,323,off-target
500,0.801,323,target
500,0.0,324,off-target
500,0.561,324,target
500,0.0,325,off-target
500,0.993,325,target
500,0.0,326,off-target
500,0.872,326,target
500,0.0,327,off-target
500,0.761,327,target
500,0.0,328,off-target
500,0.147,328,target
500,0.0,329,off-target
500,0.472,329,target
500,0.0,330,off-target
500,0.659,330,target
500,0.0,331,off-target
500,0.451,331,target
500,0.0,332,off-target
500,0.487,332,target
500,0.0,333,off-target
500,0.698,333,target
500,0.0,334,off-target
500,0.811,334,target
500,0.0,335,off-target
500,0.538,335,target
500,0.0,336,off-target
500,0.93,336,target
500,0.0,337,off-target
500,0.828,337,target
500,0.0,338,off-target
500,0.179,338,target
500,0.0,339,off-target
500,0.084,339,target
500,0.0,340,off-target
500,0.792,340,target
