n,t,p_value,seed,type
500,1000,0.131,42,off-target
500,1000,0.638,42,target
500,1200,0.694,42,off-target
500,1200,0.848,42,target
500,0,0.551,43,off-target
500,0,0.86,43,target
500,800,0.516,43,off-target
500,800,0.135,43,target
500,1000,0.438,43,off-target
500,1000,0.779,43,target
500,1200,0.842,43,off-target
500,1200,0.56,43,target
500,0,0.781,44,off-target
500,0,0.613,44,target
500,800,0.133,44,off-target
500,800,0.452,44,target
500,1000,0.954,44,off-target
500,1000,0.737,44,target
500,1200,0.547,44,off-target
500,1200,0.168,44,target
500,0,0.289,45,off-target
500,0,0.59,45,target
500,800,0.112,45,off-target
500,800,0.207,45,target
500,1000,0.723,45,off-target
500,1000,0.325,45,target
500,1200,0.471,45,off-target
500,1200,0.017,45,target
500,0,0.162,46,off-target
500,0,0.581,46,target
500,800,0.409,46,off-target
500,800,0.299,46,target
500,1000,0.797,46,off-target
500,1000,0.286,46,target
500,1200,0.17,46,off-target
500,1200,0.821,46,target
500,0,0.134,47,off-target
500,0,0.814,47,target
500,800,0.032,47,off-target
500,800,0.27,47,target
500,1000,0.108,47,off-target
500,1000,0.687,47,target
500,1200,0.14,47,off-target
500,1200,0.42,47,target
500,0,0.954,48,off-target
500,0,0.905,48,target
500,800,0.953,48,off-target
500,800,0.85,48,target
500,1000,0.918,48,off-target
500,1000,0.803,48,target
500,1200,0.728,48,off-target
500,1200,0.772,48,target
500,0,0.306,49,off-target
500,0,0.189,49,target
500,800,0.803,49,off-target
500,800,0.849,49,target
500,1000,0.861,49,off-target
500,1000,0.976,49,target
500,1200,0.668,49,off-target
500,1200,0.456,49,target
500,0,0.838,50,off-target
500,0,0.675,50,target
500,800,0.57,50,off-target
500,800,0.117,50,target
500,1000,0.217,50,off-target
500,1000,0.012,50,target
500,1200,0.277,50,off-target
500,1200,0.491,50,target
500,0,0.557,51,off-target
500,0,0.763,51,target
500,800,0.136,51,off-target
500,800,0.25,51,target
500,1000,0.266,51,off-target
500,1000,0.799,51,target
500,1200,0.4,51,off-target
500,1200,0.341,51,target
500,0,0.391,52,off-target
500,0,0.17,52,target
500,800,0.47,52,off-target
500,800,0.033,52,target
500,1000,0.623,52,off-target
500,1000,0.971,52,target
500,1200,0.685,52,off-target
500,1200,0.768,52,target
500,0,0.769,53,off-target
500,0,0.205,53,target
500,800,0.08,53,off-target
500,800,0.958,53,target
500,1000,0.366,53,off-target
500,1000,0.919,53,target
500,1200,0.7,53,off-target
500,1200,0.158,53,target
500,0,0.258,54,off-target
500,0,0.755,54,target
500,800,0.052,54,off-target
500,800,0.83,54,target
500,1000,0.193,54,off-target
500,1000,0.318,54,target
500,1200,0.261,54,off-target
500,1200,0.037,54,target
500,0,0.812,55,off-target
500,0,0.414,55,target
500,800,0.816,55,off-target
500,800,0.418,55,target
500,1000,0.553,55,off-target
500,1000,0.608,55,target
500,1200,0.602,55,off-target
500,1200,0.305,55,target
500,0,0.371,56,off-target
500,0,0.581,56,target
500,800,0.027,56,off-target
500,800,0.837,56,target
500,1000,0.254,56,off-target
500,1000,0.171,56,target
500,1200,0.437,56,off-target
500,1200,0.061,56,target
500,0,0.268,57,off-target
500,0,0.479,57,target
500,800,0.032,57,off-target
500,800,0.023,57,target
500,1000,0.904,57,off-target
500,1000,0.174,57,target
500,1200,0.876,57,off-target
500,1200,0.563,57,target
500,0,0.724,58,off-target
500,0,0.88,58,target
500,800,0.968,58,off-target
500,800,0.732,58,target
500,1000,0.448,58,off-target
500,1000,0.427,58,target
500,1200,0.404,58,off-target
500,1200,0.903,58,target
500,0,0.829,59,off-target
500,0,0.216,59,target
500,800,0.92,59,off-target
500,800,0.413,59,target
500,1000,0.245,59,off-target
500,1000,0.907,59,target
500,1200,0.277,59,off-target
500,1200,0.938,59,target
500,0,0.475,60,off-target
500,0,0.54,60,target
500,800,0.385,60,off-target
500,800,0.466,60,target
