n,ksd,var_est,seed,type
900,0.009701359,7.512968252456233,2,off-target
900,0.001788558,7.512968252456233,2,target
900,0.0119198635,9.512753791031173,3,off-target
900,0.0012469736,9.512753791031173,3,target
900,0.014621567,0.00019241105268332035,4,off-target
900,0.0033680405,0.00019241105268332035,4,target
900,0.008845645,9.868261264864714,5,off-target
900,0.0012472459,9.868261264864714,5,target
900,0.0087151425,3.602044355956581e-06,6,off-target
900,0.0041365484,3.602044355956581e-06,6,target
900,0.009693743,10.831863534534932,7,off-target
900,0.0018836193,10.831863534534932,7,target
900,0.0067775603,6.334814728587844,8,off-target
900,0.00050338934,6.334814728587844,8,target
900,0.0075649233,8.229438479679686,9,off-target
900,0.00081269915,8.229438479679686,9,target
1000,0.0070493994,2330359.8965871483,0,off-target
1000,0.0039117304,2330359.8965871483,0,target
1000,0.008563195,0.09690665683479072,1,off-target
1000,0.0077947755,0.09690665683479072,1,target
1000,0.008193678,5.864600870063441,2,off-target
1000,0.00064915465,5.864600870063441,2,target
1000,0.009856549,5.995518460195456,3,off-target
1000,0.0008994553,5.995518460195456,3,target
1000,0.007114679,20.171956538970562,4,off-target
1000,0.0014104637,20.171956538970562,4,target
1000,0.010854309,4.468808854444944,5,off-target
1000,0.0010140915,4.468808854444944,5,target
1000,0.0071919663,19.634270153165062,6,off-target
1000,0.00061899796,19.634270153165062,6,target
1000,0.007403276,5.193340237847451,7,off-target
1000,0.0004179367,5.193340237847451,7,target
1000,0.009231592,4.744849209820131,8,off-target
1000,0.0009083206,4.744849209820131,8,target
1000,0.009371851,9.051981330046458e-06,9,off-target
1000,0.009530426,9.051981330046458e-06,9,target
2000,0.010823025,9.486395124054582,0,off-target
2000,0.0004213417,9.486395124054582,0,target
2000,0.007120007,5.031095127474657,1,off-target
2000,0.00080102845,5.031095127474657,1,target
2000,0.010377277,10.699226718529701,2,off-target
2000,0.00030888137,10.699226718529701,2,target
2000,0.009051746,7.605749396329941,3,off-target
2000,0.00038886414,7.605749396329941,3,target
2000,0.005444344,1027088.2262728214,4,off-target
2000,0.003554618,1027088.2262728214,4,target
2000,0.0103100035,13.471098640133278,5,off-target
2000,0.00077956694,13.471098640133278,5,target
2000,0.009043215,6.800308761911822,6,off-target
2000,0.0012528183,6.800308761911822,6,target
2000,0.010317461,7.552505936186208,7,off-target
2000,0.0005198883,7.552505936186208,7,target
2000,0.009876148,7.882881619458715,8,off-target
2000,0.00035650635,7.882881619458715,8,target
2000,0.010139253,8.737510856901793,9,off-target
2000,0.0008752609,8.737510856901793,9,target
3000,0.009588628,8.133005093897964,0,off-target
3000,0.0005861898,8.133005093897964,0,target
3000,0.0074421344,7.007253124464171,1,off-target
3000,0.00017413466,7.007253124464171,1,target
3000,0.010416355,6.039702240377665,2,off-target
3000,0.0004317817,6.039702240377665,2,target
3000,0.009803302,10.074575828898617,3,off-target
3000,0.00022872585,10.074575828898617,3,target
3000,0.009802902,8.061841996681324,4,off-target
3000,0.0005355903,8.061841996681324,4,target
3000,0.009034352,11.673347726294253,5,off-target
3000,0.0002231425,11.673347726294253,5,target
3000,0.009359683,8.16302727853332,6,off-target
3000,0.00029724799,8.16302727853332,6,target
3000,0.010067457,8.754788539020467,7,off-target
3000,0.0002295261,8.754788539020467,7,target
3000,0.009929488,7.658176968158159,8,off-target
3000,0.0002245063,7.658176968158159,8,target
3000,0.009932487,7.260578061335821,9,off-target
3000,0.00036363254,7.260578061335821,9,target
